,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,PlayResult,cluster #
723,12.92304618,17.32833405,2.00461731,1333.951143,104.1363099,206.4873007,92.54656962,1,1
726,19.7310749,31.36303151,3.1441772460000004,1407.586149,107.5034284,274.1821228,88.50062125,1,1
730,19.67051951,32.3048279,3.261187134,2922.931711,103.854331,278.2621745,92.53599025,0,2
732,8.556504207,9.94984952,1.510996094,2633.312993,103.718682,180.85579,100.8031352,1,2
734,59.38489853,95.70747589,4.868942261,3820.669686,109.1153996,66.89894211,68.90649672,0,0
739,14.11807006,13.05254486,1.838173218,4145.733674,89.47583249,157.7783561,74.95001966,1,0
742,26.8043979,50.65098037,4.678051147,2471.551057,108.3764476,337.4864292,90.76531647,0,2
743,35.67516098,70.11796792,4.931008911,3647.689648,99.90346013,111.5708488,83.06524731,0,0
744,15.99264941,25.09942315,2.750801392,3829.015121,94.50614082,208.7790587,87.48415503,1,0
748,8.59949024,8.528946614,1.427262573,2470.83944,84.18873144,155.15500749999995,100.7758222,1,2
751,20.5540194,36.06616956,3.424568481,2009.33619,95.67499157,181.5705084,103.5025408,1,1
754,13.7495837,16.16978112,2.149515991,1184.407025,106.9222926,190.1176965,78.71253832,1,1
758,35.79587116,73.06773787,5.132713013,3817.557914,90.14110507,96.29696074,93.9759646,1,0
762,23.5818214,43.40039576,4.325834351,2243.439953,107.7739467,348.1661017,101.0008012,0,2
764,24.65271027,32.69442482,2.9166082760000003,2179.820868,109.8111668,218.5930468,72.87293749,1,2
765,30.21451115,54.25016439,4.255182495,3603.849425,105.6743201,281.6295714,83.04309284,0,0
769,21.87103169,35.80641179,3.5821636960000003,2053.463647,109.9569486,297.4323527,91.17814782,1,1
774,48.63685778,104.91063909999998,5.102807007,4699.351988,105.9861885,120.1014198,86.52988642,0,0
778,35.73221525,79.20358458,5.3799322510000005,4777.507197,107.0003137,162.8493126,98.54458407,1,0
781,28.30651603,56.85173413,5.008619995,2691.430753,109.9926936,367.25483,98.71998521,0,2
783,45.9164568,112.6589989,5.917661742999999,4525.60566,109.8659229,137.4826486,99.45384054,0,0
787,10.45970795,11.11009924,1.719064331,792.9881875,109.2438512,164.37362040000005,82.81247308,1,1
788,35.76464018,79.81487998,5.783012085,3828.349911,109.854861,226.3174469,98.48544887,0,0
792,32.65895524,67.67635856,5.505669556,3949.891386,109.8625089,344.119725,97.23038414,0,0
795,8.905528759,2.599327139,1.044763794,963.9623595,108.6269501,121.7271742,92.39668418,1,1
796,23.36030535,43.78958055,4.430960083,3073.067715,109.7995408,347.2002672,99.24977066,1,2
797,41.20434059,88.23113788,5.1056475830000005,3898.259714,105.2557768,130.7161081,88.80643653,1,0
798,22.87065914,44.21408815,4.65232605,1801.3107719999996,109.9909767,386.0779824,102.5935685,0,1
803,12.56759438,16.12305484,1.940621948,672.1208267000002,104.9574239,210.5537002,98.11891518,1,1
807,26.86544609,42.21758181,3.552334595,3594.484912,104.2256106,242.9532776,78.77412644,0,0
808,19.25080189,28.89307209,2.797069702,1385.819115,100.8121589,257.0527043,94.68737569,0,1
810,55.35851165,126.4321564,5.627266235,4120.965609000001,103.6567433,71.09128352,83.96998083,0,0
813,23.67487262,41.89313782,3.836286011,1628.862262,109.57603020000002,284.7861207,83.39911081,0,1
815,30.68531219,57.72228884,4.751791382,3107.474874,109.9598884,316.627667,89.80252617,1,2
816,27.68467114,54.66486617,5.009276733,2555.44997,109.8935014,400.0535038,101.1415196,1,2
817,40.44315026,81.68130073,5.166188354,3263.202668,88.08096614,72.72717037,87.16415779,1,2
818,4.307591479,0.922113162,0.919299927,3133.247214,98.44213432,114.1326402,101.1234991,1,2
820,18.03962903,26.74430783,2.932107544,1485.614965,108.8732102,274.6864589,88.76612084,0,1
821,31.46552774,67.24932809,5.333928833,3380.504495,109.9096719,383.3036948,97.43777742,0,2
825,18.28206107,29.63965817,3.211209106,3987.155635,89.14908854,186.5963068,94.64819392,1,0
827,42.08535063,100.7907946,5.925315552000001,4478.024355,103.6839097,131.0084254,101.4831803,1,0
829,11.38328533,13.68765343,1.642827759,2608.720868,96.34243679,197.6080707,106.3275593,1,2
