,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,-45_to_-35,-35_to_-25,-25_to_-15,-15_to_-5,-5_to_5,5_to_15,15_to_25,25_to_35,35_to_45,PlayResult
Strikes,0.00525085846277052,-0.0198239536933555,0.7915968732574746,0.01126681341102627,-0.026960286196693446,0.03409913923527149,0.015541388512323054,-0.015334226692428968,0.004378850252916551,0.4113166559629688,1.0,0.026537844754030558,-0.03403746865825093,-0.130878764643517,0.1193143098434652,0.045845913831603795,0.056710141799031,-0.13071761722313763,-0.022910940476993727,-0.02109306042837615,-0.06573797446842643,-0.1569245310048654,-0.13777260086117613,-0.11204366133269111,-0.035872247044937924,-0.057772386636572665,-0.1317589361679044,-0.1395609017707085,-0.07123382584166221,0.13892908664452228,-0.08563694425800415,-0.009149165875566523,0.03574464683870257,0.021978583054297424,-0.031816031495232204,-0.029889920733683857,0.04024439235150799,-0.0691855915565417,-0.02314062982329542,0.04057222959676644,-0.041382861853270794,0.10570940277042778,-0.13827199898672066,0.018376083375602155,,-0.0027974321063488896,-0.043278740454888255,0.131357561065307,0.10824263718773093,0.10215350794701754,-0.08588659486119908,-0.13495366361318056,-0.0025903802539952287,-0.023979865701786895,-0.004703303319493463,-0.01669979771622832,-0.006304900576303297,-0.009179207469573446,0.009864612854967958,0.03160063591741964,0.028812785107944258,-0.01859471950063657
OutsOnPlay,-0.006892612371038476,0.02051052852343761,0.032427935382413085,-0.01592288135043452,-0.014038948047429303,-0.02208464746600217,0.01600926455833621,-0.0019311639809346263,0.01175713788319946,0.03023083139344823,0.026537844754030558,1.0,-0.38668720204928214,-0.009768419369708254,0.013238729437382362,0.013852310753041957,0.024183708709976798,-0.002032222690164096,0.02249229341850957,-0.011373046252071972,-0.034222359947665655,0.0056498791778062385,0.021317835909099882,-0.016989472132226183,0.0640222621434665,-0.0038406022193601583,-0.014303186569921512,0.02434109900238059,0.0005102350188592794,0.016636202356249654,-0.23579711199844042,0.4439080860262269,0.033441672562645804,0.3225408974778907,0.1759176604964775,0.4298745118420149,0.03733606514792215,0.09109274668700415,-0.10053594203865288,0.041763417318521116,0.4152212043273434,0.016718824239689775,0.017893443769804316,0.010592047426443879,,0.02699381501866624,-0.012646215659126632,0.010018822593926266,0.015384212723413209,0.0145005642682737,0.006718477683043203,0.0162862555247421,-0.11163734755352915,-0.0415478501325741,-0.016644446558001177,0.05937698871034147,0.09130009668499467,0.03418851937297554,0.009987141274021314,-0.001655663758220215,-0.06124252189859322,-0.9100045173879111
RunsScored,0.0035625709267631976,0.31083494296160724,-0.022813461176303555,-0.004925015921178843,0.016983121200158477,-0.005597099959038374,-0.02894999437797439,-0.030764210670192648,0.07877055978431459,-0.009463350382571813,-0.03403746865825093,-0.38668720204928214,1.0,-0.04201829431151159,0.03053327404426874,-0.01359022066431408,-0.007004797592811076,-0.00819295398779643,-0.03343209719061088,0.017428024406407894,0.04218664434766892,-0.02956189547021553,-0.024452942837789003,0.0037740175634164187,-0.01736476297654156,0.003932529628353826,-0.03571580124349558,-0.01948398937183635,-0.01737085870500528,0.029159736271951325,0.23758763962675913,-0.09019478693994368,-0.0015990711333620496,-0.08592222718176831,-0.10633076369613169,-0.06088715224572778,-0.007127675512513453,0.27067805492885766,0.11151169001144087,-0.013013083582760081,0.040720420488983784,-0.004668107435986195,-0.02437624336299448,-0.017647075084676753,,-0.029671374283146458,0.013413654757772857,0.040895270789710614,0.03153869243712992,-0.004394698092635176,-0.05606468212115449,-0.02688240454205147,0.07600630344061353,0.0373092105413621,-0.018239807053854133,-0.023806853456576387,-0.10606443888327144,0.0052903523639333695,0.008400969336187074,-0.011780755335318485,0.06087543643041067,0.4568896447132855
RelSpeed,-0.03145778587814566,-0.08963987370034017,-0.011340363436359786,-0.11071285617231746,0.18043167191661164,0.022116030833299244,-0.05759338302667534,-0.008162339335206945,-0.007011690977030387,0.0920344564012356,-0.130878764643517,-0.009768419369708254,-0.04201829431151159,1.0,-0.6690488897991457,-0.2142413958962873,0.23876119606962903,0.31027351823753346,0.14824526863784424,0.1405059845412299,0.26185871873032246,0.8419593156974989,0.567956747699542,0.3273009234037139,0.15182592069304945,0.07562572830682938,0.9877034971427066,0.7236976945738065,0.07872737513297566,-0.9807091022179363,0.061202410604231816,-0.03465576077222478,0.056839351002309274,0.021929123830203064,0.01897589779553907,-0.0026687342083998524,0.04570528821545565,0.008868811860274904,-0.014087307791266235,0.0412134996793074,-0.012663507220479424,-0.3206244687924296,0.5907508743240169,-0.1313973372994314,,0.03734282480545344,0.21575900664240502,-0.9996269632257039,-0.6490265042385329,-0.3193024682320941,0.82475805695707,0.6741960026858124,-0.034755828768984774,-0.0007726120595651773,-0.0027137289535964565,-0.014316644839116741,0.0010612421056646665,-0.015925633283340374,0.020199946256586398,0.018074283316866047,0.030983181516483056,0.0017875081454063037
VertRelAngle,0.08535284047645264,0.07974265500249168,0.015591472878653876,-0.012131319001009807,0.015890497430438952,-0.028006273912368682,0.02869440508541206,0.069449666631376,0.02480541017521345,-0.08635164685710263,0.1193143098434652,0.013238729437382362,0.03053327404426874,-0.6690488897991457,1.0,0.01197493839108514,-0.011495383439118562,-0.1839617882200507,-0.5870501400161786,0.05789242914973885,-0.17805557118444887,-0.8274464835424523,-0.7823729062429463,-0.1590617313041743,0.16941304454713896,-0.027403826667698323,-0.6608940858301304,-0.3688441477302186,-0.18814666883702202,0.6617449849418825,-0.044591772639444346,0.0064477730648022525,-0.046812334414532614,-0.0017568342585420626,-3.709556623392348e-05,-0.0006113022602867149,-0.04346480976494212,0.0021729279590453816,0.008376193470096474,-0.04245454388160701,0.006900727139135481,0.14504035755777508,-0.8162554129950681,-0.0641799245428646,,-0.4528079729596525,-0.018146404389386347,0.6683163752864351,0.9930481431338746,0.14520258280638473,-0.5594358174090422,-0.8312188585439206,0.021627506442637015,0.009935105637086805,-0.007489372539318583,0.02646935099750371,0.011681449207647061,0.008409652218754445,-0.02568275275436115,-0.008758057784631118,-0.04164140531797409,-0.007152484632606822
HorzRelAngle,-0.09241381544435646,-0.010584257410533085,0.021303002764203098,0.08488163147876711,-0.898810482070647,0.05491049261052123,0.10931240905152333,-0.09785123355344905,-0.0010759684864236417,0.010194178388090558,0.045845913831603795,0.013852310753041957,-0.01359022066431408,-0.2142413958962873,0.01197493839108514,1.0,-0.09286078507790248,-0.5137484998351807,0.11546827752312559,-0.9451951251184791,-0.1733502283129499,-0.08276981212300294,0.03653630929357993,-0.7890671898205867,-0.003761347408896463,-0.05636873280060525,-0.21927819342788718,-0.12031190899278885,0.596871079330867,0.2232331391303978,0.0051466751851705845,0.01894856333447695,-0.09184647157038352,0.014786727505476594,0.005084941730654664,0.012556399748874354,-0.07476887807531526,0.0179759077904291,0.025820889881994,-0.06179951377472713,0.02132301265304655,0.8334311907823466,0.02681634337782918,0.9316955827586437,,0.12460693684556218,-0.9979117257110315,0.21567464455998123,0.016506729021318174,0.844228750855322,-0.16585004332189268,-0.01557875273609099,0.028188085406828087,0.023753477461933865,0.04493477324591252,-0.0138713912379112,0.005162907877126275,0.002764999075509889,-0.03770799852002493,-0.03398212236196596,-0.01859654885513817,-0.01350072917019788
SpinRate,0.004430156385659443,-0.017183227255220847,0.044471567276571915,-0.09740238351274103,0.161412119559408,-0.0379536732928385,0.01184455167246187,0.01612811563095667,0.010743226027141539,0.03612881070041672,0.056710141799031,0.024183708709976798,-0.007004797592811076,0.23876119606962903,-0.011495383439118562,-0.09286078507790248,1.0,-0.09579444237674786,0.006791289916291941,0.13067511429377315,-0.12768224943430406,0.04092357194473918,-0.08667753133639546,-0.02576689497581838,0.05541926953042369,-0.021670865010098773,0.24326226750688992,0.06608390121127493,-0.1843062522102546,-0.20147571506624185,-0.013078812424997685,0.009469424503896913,0.012065758969737841,0.059626330966728765,-0.004522837527607078,0.02391844548312376,0.014372107199784392,-0.0031003336375057477,-0.03050505912722164,0.013058772861848058,0.010478384334704542,0.011342589318122223,-0.07941941581138555,-0.13333761909283945,,0.004460936199436327,0.10024197601271637,-0.23820924218271566,-0.035564672626653915,-0.0033791626038850286,0.20281600776544664,-0.011252070418506665,-0.008198618360028824,0.011052538294023693,-0.013187604788720152,-0.021067413025270824,0.019099006334011695,0.0001240434712551118,-0.00599130119605677,0.0061884233238710725,0.012799283057278048,-0.023210198079780416
SpinAxis,0.02828263083758287,-0.008200939161031408,-0.07139413217860639,-0.07080910460613998,0.3285562681723594,-0.008535188337360836,-0.18065183280440336,0.038561171701941836,-0.006887821883090943,-0.0022054364019228625,-0.13071761722313763,-0.002032222690164096,-0.00819295398779643,0.31027351823753346,-0.1839617882200507,-0.5137484998351807,-0.09579444237674786,1.0,-0.060336606047029354,0.3325299980167066,0.15308042432459676,0.2835638410729115,0.2129945213759547,0.8290516083490215,0.03206704608515372,0.2429379185034909,0.30498529088049625,0.28308673143977126,0.24680113703523085,-0.3072840708034715,0.01971113989356236,-0.018421048789500218,0.052330438998250156,0.006729038380128083,-0.003117867155158082,-0.008276665374751515,0.02496003734413045,0.006233746329095127,0.008742605318042036,0.009004402405031095,-0.008967518539109652,-0.8081866160165584,0.21629307979471002,-0.31032082693647767,,-0.09953544766247915,0.4968577630991081,-0.30987729771865735,-0.17195955787455616,-0.7806969892380661,0.2432003635474092,0.23094412287466967,0.018382375861482017,-0.03550738856082092,-0.011442158908805511,0.04159731997065755,-0.0056695135991793755,-0.04019802545368006,0.01862682856322671,-0.000706452223923022,0.021015907964635983,0.006463897115495469
RelHeight,-0.07726331233887557,-0.05560758353489638,-0.03534627408357515,0.0928443848076529,-0.05556655714986543,0.01752190429250037,0.030902935570320287,-0.06027609282910067,-0.01806257739127575,-0.03238383426965552,-0.022910940476993727,0.02249229341850957,-0.03343209719061088,0.14824526863784424,-0.5870501400161786,0.11546827752312559,0.006791289916291941,-0.060336606047029354,1.0,-0.1407678768287968,-0.11999095012250219,0.2801341487560578,0.34090703014119655,-0.029730815211273548,0.21284620461770282,-0.008519559664292502,0.15717051496753828,-0.11789736478747684,0.14847522860582102,-0.12399435256839042,-0.012455011690530218,0.05352803554105628,-0.0006046023406816231,0.013214753950331951,-0.01909691012601962,0.04412430074576387,0.006904854861948228,-0.010978149993026199,-0.007678277998242007,0.013231870877620329,0.034709476291589866,0.039814443281550184,0.3638724248736567,0.14205376256003832,,0.9870197548285657,-0.10558069516920174,-0.1509386508670561,-0.6043829748430806,0.02820437163818078,0.12630510301392647,0.3597558607529924,0.0007092767608784053,-0.00527760711024828,0.02543898001750579,-0.038645213884556155,-0.00234934945673797,-0.017794322816825463,0.03260418893444564,-0.009228141482639549,0.019738555660575023,-0.023644236949440154
RelSide,0.10036824109594984,0.01515173241737778,-0.005086338209296435,-0.06347094467621466,0.9153227936065288,-0.050082880025779014,-0.12570164271526554,0.10207657011803596,-0.005315712532003595,-0.010132132656674453,-0.02109306042837615,-0.011373046252071972,0.017428024406407894,0.1405059845412299,0.05789242914973885,-0.9451951251184791,0.13067511429377315,0.3325299980167066,-0.1407678768287968,1.0,0.14620327130069802,0.003614207260840567,-0.10616131800576342,0.632364041263289,-0.006728080377932024,0.21629276254479293,0.1458071716571062,0.059215855906326276,-0.7120718206537348,-0.1513090573394912,-0.02521893295497915,-0.009515380451000572,0.020394561034404943,-0.0183533000752136,-0.02066601909942074,-0.008380673386936339,0.006088867992532917,-0.02896453403376632,-0.04105018474255562,-0.004723835938089523,-0.020009833266851393,-0.6860899688336406,-0.09762912550493802,-0.99912199897877,,-0.13928420050418946,0.9453704918263441,-0.14220663764983307,0.05019401553889683,-0.7039452464485001,0.11236021497144423,-0.05665983515843624,0.008874895611628903,0.00850330494025785,-0.022816038216125097,0.01699765513559596,-0.014996290052748332,-0.009404358538629911,0.013886467188494274,0.016173166486175086,-0.016426307607071117,0.010626906074340197
