,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult
HitSpinRate,-0.139694712985437,0.020517454043986607,0.07674608690425716,0.0347333876207626,-0.030130391307225692,-0.03493279777656577,-0.1755039722772058,-0.07816309313727812,-0.011396006861330524,-0.15376184636382445,1.0,0.07131491417122139,-0.006153910772582372,0.050598995683115204,0.02552260593296724,0.024879400845828566,-0.1352975656322502,-0.014413006085612417,-0.013218302749556989,-0.033958405736782354,0.028439164977871315,0.01944483219579891,-0.04708041515618038,0.02640122023338885,-0.0006343090123606169,-0.019688088634335466,-0.5979398594232967,-0.08745892765740804,0.4317794009006158,0.01834549383650036,-0.06926136891213014,-0.022130832569677357,-0.09577486801175807,-0.027126148884410915,-0.005745985151099445,0.03839220169047669,-0.004728113402441272,0.003940472951011624,-0.011856383342020185,-0.026251228249636573,0.02631078988504316,0.00038697997684320373,0.0012582317212884578,0.020352752673340413,0.011342244171479453,0.024654528722996352,-0.04739023254993301,0.021940497924353087,-0.010177779935503025,0.07108933537155347,,0.017898070366651846,-0.005174460021748223
HorzApprAngle,-0.0025959171319788485,-0.0002632368322743688,0.026300190618916586,-0.12693410575781916,-0.11639094228044086,-0.04025763455404315,0.006462937227393788,0.016039164870746685,0.04694529373833357,0.004365398179610836,0.07131491417122139,1.0,0.10791961469275049,0.5619233716346309,0.20829039133865593,0.002439538112878686,0.006639021454158748,-0.04548043495161613,0.014476723677945847,-0.015284941976876845,0.002154834406255655,0.0357605865001001,-0.5719629923587528,-0.05085187895129062,0.02290953595506193,0.38286103420186296,0.0482044501598084,-0.18192042740671927,-0.38384320961956503,0.05656415750241565,-0.6756739056169293,0.12661666622454007,-0.022208473497843835,0.32991691344989144,-0.18120933416568635,-0.09882906328209567,0.1464255751761301,0.1923566286916649,-0.17017038216032612,0.11630545439233499,-0.12317770730496186,-0.003332450643083567,0.11423849183780253,0.19702249275046116,-0.030514209575808988,0.20652918325318173,-0.5786724662176385,-0.12702083975147663,-0.15751523298243386,0.6815168024667112,,0.028752636189270042,-0.006798871315509607
HorzBreak,-0.03256084265432348,-0.028951727324204292,-0.04132827148231448,-0.11155021006016429,-0.023495563924658503,0.024767508213859143,-0.023271761768315392,0.012693988797942826,0.1742472076506417,-0.024143551839496284,-0.006153910772582372,0.10791961469275049,1.0,-0.7616420949508467,0.16978923586876302,0.03178801445125687,-0.026576432798030198,-0.018704702891138195,0.02939194757696904,-0.03152415389748164,0.014495252843074295,-0.08131390937964345,0.6251207049275468,-0.10075655710951034,0.032391997632900404,0.352945880895461,-0.19806385597300427,0.06847708765762756,-0.0013813995368330801,-0.029433441832221775,0.6007962732913165,0.33919544995076273,-1.2141369123230325e-05,0.8169516563372341,-0.0589868872722615,-0.14860852750435513,0.24758858024156025,0.2653230289148624,-0.18519831548138918,0.3343796414932109,-0.33978405811222573,-0.9882984955071654,0.27717646287537256,0.19441027310299674,-0.9967353367625683,0.17632621830365244,0.7462136454944392,-0.3400775601860146,-0.17732610606753973,-0.5791963228881786,,-0.06523079048888664,-0.03603316791728127
HorzRelAngle,0.02572914828835967,0.02344310275925561,0.051135004743421406,0.010551414406966506,-0.05647686869070019,-0.047206730732688496,0.023668564588871014,0.00020853264238970522,-0.1161970602571296,0.023002589184247843,0.050598995683115204,0.5619233716346309,-0.7616420949508467,1.0,-0.0056847821164922475,-0.02486305355375953,0.026493138312585734,-0.014671229590094901,-0.01546623976693567,0.01569998580240471,-0.010680771559431833,0.09100311446150632,-0.8932280568259331,0.05021601640650609,-0.012523938553879548,-0.045018590406720106,0.19015275223501502,-0.17147682207220272,-0.24392382985212782,0.062232866342274734,-0.9405165913733488,-0.20002084473902007,-0.014577558485793236,-0.46465499763816936,-0.06355800044069404,0.059089942345882246,-0.11137699006097818,-0.09571867419178288,0.042853330596449066,-0.20248604843521487,0.20291664638630397,0.8203137901820183,-0.15731772330968125,-0.033480792749709554,0.8095495498742292,-0.012306400669298563,-0.9981030933201731,0.2004754874264196,0.04439297263705024,0.92645162592059,,0.07384488714154368,0.025930008574998366
InducedVertBreak,0.06460098636277689,0.08636065589803442,0.03928016441874543,-0.008792340294515696,0.015226688261163931,0.02153977818684836,0.1118789450267427,0.09450426684890399,0.21489918426140628,0.10399783954459223,0.02552260593296724,0.20829039133865593,0.16978923586876302,-0.0056847821164922475,1.0,-0.020227302252751628,0.11275621221188045,-0.05789279850171719,-0.012103006890481924,-0.05927836263534536,-0.01848612362993393,0.042679070588349875,-0.053301757764380876,-0.04002389707068073,0.22167659544398738,0.05083160736615584,-0.07607351010000024,0.1433898412426914,-0.0024792429941922676,0.2990336693812532,-0.06670295536787636,0.5981093433428432,-0.002857153979512833,0.21686743346852794,-0.10157921185661584,-0.17723844245867987,0.7502523037375416,0.928854540126668,-0.7849632692341053,0.5585547047259987,-0.5932628794564849,-0.14940191945057943,0.5361677473152157,0.9853910224776335,-0.15471850680750293,0.998103917335114,0.007042383982791794,-0.5957838137378041,-0.7398090239003107,0.07242386849662022,,0.18133750166321005,0.025732173475913202
Inning,-0.016957033174347724,0.007140083870448973,0.0709283209526076,0.01208056531140985,-0.007886629227569605,-0.0028733591647023497,-0.042977705469339385,-0.043567901534243336,0.047352959859185056,-0.03525268848780798,0.024879400845828566,0.002439538112878686,0.03178801445125687,-0.02486305355375953,-0.020227302252751628,1.0,-0.044134656871163844,0.014299704441116962,0.020126853796475233,-0.0033902517010393532,0.9582670325488885,0.011814543529336228,0.03961209322365629,0.01912834139944643,0.0032924530060990742,0.05542573108679777,-0.16020380365378886,-0.2483464377946307,0.07882058748891665,-0.05035254347917439,0.03515001948007467,0.030110276296426763,-0.024700750024998316,0.0231559135624227,-0.022754212359287887,0.017749593048937386,0.022037566355464538,0.0011668605612550644,0.0237911360712107,0.02382129023492669,-0.03187517473969665,-0.032284442332338376,0.048040078473808756,-0.014335874885728846,-0.031570520127642505,-0.019617327851880067,0.024328420083068947,-0.029652135321368286,0.024634751168113832,-0.03548062018009816,,-0.0499293257179069,-0.03994150855881049
LastTrackedDistance,0.6968406835012634,0.006935749771741045,-0.044967377538035196,0.026498378852124634,0.01131230672856114,0.01461122195788348,0.9944702786890053,0.36974936685123483,0.00858217432126178,0.9831433915558078,-0.1352975656322502,0.006639021454158748,-0.026576432798030198,0.026493138312585734,0.11275621221188045,-0.044134656871163844,1.0,0.0075815488628103184,-0.2759316036777091,0.026407339059420734,-0.037862808259773846,0.06056744640125737,-0.01877711591499543,0.002022349933962434,0.1099055085762815,-0.02697386152111477,0.19387645102815104,0.8252927516953714,-0.008159150859095701,0.035090902718105776,-0.030503359342494058,0.028405813258712102,0.09889192818861206,-0.016946961608519884,0.00021419840639567752,-0.03251826867526646,0.10403900656061145,0.08547524408252509,-0.0372328698420016,0.018775392727722807,-0.025402432517255484,0.024047715228808487,0.04509142400335617,0.1082803316015837,0.02693271539780501,0.10798587438162477,-0.022672101455104083,-0.02842474045892645,-0.02976329806531813,0.030125903811267916,,0.031991979073179626,0.326317298343757
Outs,-0.01807251044899764,0.011478035335687892,0.01966956940782792,-0.005461875925321082,0.008122556142842949,0.004336943266449226,0.006154090913595164,-0.045755366715423414,0.017242354615695076,0.011419587085862635,-0.014413006085612417,-0.04548043495161613,-0.018704702891138195,-0.014671229590094901,-0.05789279850171719,0.014299704441116962,0.0075815488628103184,1.0,-0.03287256078447856,0.6575852179158992,0.058436907916590744,-0.014886719276881998,0.018040462210020407,-0.00823313873472929,0.004774905107448522,0.002097992903817473,-0.1698712763719508,-0.10450640491716925,0.02323760751352911,-0.007202177746392565,0.029279954200838336,-0.043430444137001936,0.014128690534566847,-0.031861078372761434,0.027403390669833928,-0.012184019283610984,-0.04426596989930388,-0.05668762592034549,0.05049489825519544,-0.041805728569527634,0.04011841995020809,0.012751749168848345,-0.03346615549109382,-0.05288504085658833,0.014172493998620623,-0.05715712718268755,0.015951104830301033,0.043187461344829994,0.04823587885876859,-0.031294077517067406,,0.002598780223530966,-0.021936795619434738
OutsOnPlay,-0.21997768722646296,-0.04475898972374405,0.02200633597236323,-0.014138688900711719,0.01646421626779776,0.021503949945179717,-0.27831060484954995,-0.20843163190017877,0.0036168334615028145,-0.2543002327135268,-0.013218302749556989,0.014476723677945847,0.02939194757696904,-0.01546623976693567,-0.012103006890481924,0.020126853796475233,-0.2759316036777091,-0.03287256078447856,1.0,0.03276639359157146,0.016815511434224443,-0.03013862153153827,0.019285375145980336,-0.02114953882806014,-0.021197607777691006,0.04207225223792165,0.08361952150337758,0.030673024343382663,0.02181341348313948,0.0005455420717334337,0.018405974615108397,-0.008278226681429381,-0.22578461566879018,0.031458007199835124,0.0019650646706610036,0.02675779136609676,-0.019016034024060068,-0.010807245018073413,-0.0007590866300924888,-0.007523578738129791,0.006483096318059844,-0.028942858423773785,-0.008517074610593358,-0.018051248691803346,-0.02883738334375927,-0.011288869030438829,0.01403657548811338,0.008138318655055403,0.0007794684573406746,-0.01912458131080941,,0.00041791196615088936,-0.8858117609957502
PAofInning,0.022655645924381865,-0.0013148871169956003,-0.006721790287737323,-0.005790398052804603,0.011023792144993175,0.014242232679532207,0.024966978304687953,-0.014317818242976146,0.013420517264592244,0.029761406080520164,-0.033958405736782354,-0.015284941976876845,-0.03152415389748164,0.01569998580240471,-0.05927836263534536,-0.0033902517010393532,0.026407339059420734,0.6575852179158992,0.03276639359157146,1.0,0.07800098600057723,0.02033018189032688,-0.00589296865911584,-0.009267442272385528,-0.007448314536522707,0.024367513390292566,-0.017607630986221652,0.055658917259558904,0.020666176568752904,-0.008768683023792953,0.0034084551146944145,-0.09466673172042597,0.2767846868185382,-0.04155851118380715,-0.02680272039873609,-0.003188276045354143,-0.068612324103278,-0.07999650481533727,0.06439101975607449,-0.09259892383841654,0.08881737852993156,0.031238618198767238,-0.07888442887532698,-0.06037360267020373,0.029791102272965105,-0.05930808756732138,-0.016900290427488116,0.09450213839537801,0.06148884174897539,-0.005768198696608513,,0.0038627520828940563,0.005701695851309547
