,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,PlayResult
3344,97,2,2,8890877.0,0,8894839.0,0,3,1,1,0,1,0,92.13516461,-3.614891741,3.1246593560000004,2329.838618,137.92240269999996,6.282537631,-1.243917966,5.294493591,-16.281441,17.89401463,-16.18478977,1.522556586,0.343660531,83.06915451,-6.648555983,0.09240483,0.420754408,87.15556409,41.52126533,-25.36715713,4765.813422,92.60349897,81.27671001,-59.36798412,274.5223144,100.0684436,-43.52274258,4.8953582760000005,9.571407616,10.63542042,0.971248614,50.0,5.941635438,-6.690655215,-133.4025646,-9.035624341,17.00755376,32.4344753,-13.27583715,1,0,0,0,0,0,0,0
3345,114,3,1,9999670.0,1,8884530.0,1,4,2,0,0,1,0,76.96837796,0.943761791,-0.99915363,2365.2120760000007,107.4284585,6.152522071,1.812910481,6.088599955,-43.23622052,3.886770211,-12.52228016,3.422629352,-0.154854097,69.99557327,-7.22434514,-3.375911039,0.4940693820000001,93.92643065,39.66629907,7.600740336,3959.589449,108.27907340000002,87.20226694,19.38143583,327.6336426000001,106.4949847,14.46927552,5.673884888,6.5076800310000005,1.820039271,-1.729393317,50.0,6.202470705,2.288236272,-111.9660023,0.6862696290000001,8.154947992,22.64059179,-29.89330864,0,0,0,0,1,0,0,0
3346,120,2,4,8890877.0,0,9999672.0,1,4,0,1,2,1,0,77.53669893,0.5662316479999999,0.100117196,2289.840701,314.7600652,6.174381124,-1.315615832,4.912547704,-56.28342033,-7.459778247999999,7.47622803,2.019461654,-0.597940293,70.41108207,-9.839427069,1.495433978,0.502905754,93.2112198,24.15791045,24.17108004,4119.386875,96.59957305,41.604025,52.61628743,319.2965062,311.3240214,37.94752873,3.932005005,-3.879257108,-4.091005707,1.299843499,50.0,6.184361397000001,-0.4399765570000001,-112.5363533,-0.719699083,-4.885031445,23.85908427,-37.32572862,0,0,0,0,0,0,1,0
3347,129,4,3,8890877.0,0,1000018217.0,0,4,2,0,2,1,0,77.31932246,2.70087506,1.118091799,2336.039989,321.9070895,6.123484853,-1.259190132,5.063920714,-57.07220437,-8.142136242000001,6.346560102000001,3.916264828,0.323976757,69.81810759,-7.921291251,2.304852104,0.503453574,84.30211749,57.66012754,-28.86232024,5380.226725,84.24468799,133.4217822,-70.73045305,208.4243799,38.97766413,-42.48907876,5.915021362,-2.969288333,-5.1766571930000005,1.148241497,50.0,6.336302622000001,-2.38940461,-112.1125946,3.4794362389999995,-3.711358355,23.66327847,-38.64443060000001,1,0,0,0,0,0,0,0
3348,132,1,3,9999670.0,1,9999989.0,0,5,0,0,2,0,0,78.63002727,-0.412446624,-1.092674957,2343.803329,91.76240061,6.191861885,2.015405978,6.190946314,-44.7455129,0.295455425,-10.97857082,2.082245652,0.091706341,71.6693502,-8.85773436,-3.182475658,0.483031416,100.0199364,7.375661346,24.4831448,1927.879065,98.0788354,3.038114601,49.80499775,128.5339615,127.3032928,27.64250603,1.010255737,5.65570194,0.294064586,-1.92770202,50.0,6.138342125,2.476173137,-114.3991776,-2.022859717,7.384312015,24.01259347,-31.790106,0,0,0,0,0,1,0,1
3349,135,2,3,9999670.0,1,10000013.0,1,5,0,1,1,1,0,77.75913964,-0.831565929,-1.323215121,2403.164893,140.6174339,6.185011641,1.6574616919999998,6.219972908,-40.12071088,6.14208753,-5.077745469,2.074126633,0.013251272,70.34030742,-8.438727487000001,-2.29361714,0.489539194,90.56752568,19.57748102,-28.44117935,2104.064636,94.11151651,29.01575735,-56.9473294,270.2239374,262.3555251,-36.13044779,2.898251343,2.337012763,3.650203079,-1.556093255,50.0,6.103050832999999,2.745041694,-113.0774441,-2.693487114,2.9634140010000003,24.588899,-27.54546326,1,0,0,0,0,0,0,0
3350,142,4,3,9999670.0,1,8899597.0,0,5,1,2,0,0,1,89.31178627,-2.34551996,-2.237909876,2255.822245,185.4445009,6.091086022000001,1.969623326,6.847248175,-14.28324491,19.68700472,1.879442486,2.759601334,0.084926495,80.99649152,-5.081827183,-1.876613256,0.4194893,87.891763,7.73412523,19.32889786,1014.937378,102.5649483,1.4395983980000002,39.75392007,117.282327,115.4559884,21.36584862,1.008219604,-1.7408664530000002,11.74082066,-1.827581949,50.0,5.936050425,5.028216669,-129.94503229999998,-5.705641459,-2.946088252,29.83775094,-12.30492318,0,0,0,0,1,0,0,1
3351,158,2,1,8890877.0,0,8899275.0,1,5,0,0,0,1,0,89.71356068,-1.513386527,2.822644121,2278.882087,128.3966056,6.198450446,-1.6113963059999998,5.392945527,-22.19402119,13.59547279,-17.19776646,2.928743836,-0.397381319,80.86140188,-5.667725301,-0.40698406,0.430575483,89.18328892,39.52215629,22.00132475,3828.313007,97.47253265,77.34096744,50.9811255,300.1409081000001,130.3270588,36.99280672,4.893892212,10.04970084,7.714780406,1.371392433,50.0,6.048148031,-5.813800189,-130.1626169,-4.222226216,16.99032902,31.02925396,-19.13120683,0,0,0,0,0,0,1,0
3352,167,1,3,8890663.0,1,8884529.0,0,6,0,1,1,1,0,80.5795145,-0.41055749,-2.481732887,2003.920047,170.58242769999995,6.115432059,2.283410652,5.443739317,-41.89498353,3.658443181,-0.613908201,2.239458117,-0.092564324,70.89726312,-8.356037974,-2.59892806,0.485771515,91.10641607,19.62567483,21.58922471,1907.251119,100.5694681,31.83306396,44.56115699,293.716628,288.1600765,28.71364922,3.293726196,-0.70811161,2.136685099,-2.063867941,50.0,6.0517210960000005,5.077200801,-116.7131554,-2.111586337,-0.931180985,31.48897092,-29.36426475,0,0,0,0,0,1,0,0
3353,177,2,1,8890877.0,0,663837.0,1,6,0,0,0,0,0,90.36456798,-2.104904032,2.320372484,2164.318737,140.3879084,6.3070423789999985,-1.450017139,5.378425646,-17.13836409,18.42798038,-15.27917904,2.903357802,-0.547148509,80.73912063,-5.3258857000000015,-0.561473027,0.429231053,99.2501585,17.74253709,1.074084155,2308.185952,109.71832340000002,31.32103605,7.861060466,326.2869979,326.1733022,7.588333082,3.543532104,8.940419995,10.54355817,1.252948143,50.0,6.106928427000001,-4.771753719,-131.02862209999998,-5.422759452999999,15.18466598,33.63266707,-14.26656668,0,0,0,1,0,0,0,1
