,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
1652,28.94777683,54.24887113,4.266964722,3493.2078189999997,96.46763356,186.1843055,78.94642882,37.65480755,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1658,52.20131351,114.02367269999999,5.568485718,4527.203248,96.4213165,51.58303647,83.49891501,33.06649158,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1672,10.69198256,14.83057124,2.016294556,1894.4358100000002,105.99680990000002,210.40000469999998,95.8363773,18.47235464,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1675,59.77153945,116.5750882,5.799580688,3988.6086229999996,103.14111109999999,53.18801819,78.58388419,20.04990957,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1683,42.57909201,87.19141471,5.174534302,4119.177684,99.06446447,106.8305446,84.77550359,-36.3336591,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1710,60.93926216,117.1430788,5.264868774,4741.946061,90.94985507,58.87968063,78.97503299,-36.40296014,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1732,54.69258449,140.9378445,6.071365356,3782.226477,106.3795976,86.84910401,96.26319019,-15.161018700000001,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1742,9.451868946,12.96935711,1.9519500730000001,3219.053348,105.05424359999999,216.81982119999998,102.11046529999999,-21.83956958,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1745,19.13450754,32.31854168,3.1076434330000002,725.9998287000003,109.2413893,315.1096725,106.3064006,5.5672979210000015,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1746,43.49488028,80.09935449,4.61664856,3978.9899729999997,88.24239016,80.33404894,76.86899302,-44.76536546,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1769,58.51864802,141.1628242,5.957459106,4883.563688,103.4961399,62.80063536,84.04466081,21.53757336,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1810,33.35549538,70.45519304,5.717645874,3682.3211899999997,99.84647716,119.8222923,105.12100349999999,-25.174363600000003,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1812,15.61858495,23.11946444,2.540067139,1560.521045,109.64766189999999,229.60918030000002,82.00757896,-3.106757153,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1813,27.99430966,57.69781302,5.678649292,2646.413889,106.46556229999999,216.38814069999998,105.59697959999998,-18.83470647,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1851,33.88426473,74.16672233,5.488046265,4058.8172990000003,109.46148649999999,214.31881239999998,98.37127641,-0.667163152,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
