,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B
HitSpinRate,-0.139694712985437,0.020517454043986607,0.07674608690425715,0.0347333876207626,-0.03013039130722568,-0.034932797776565765,-0.1755039722772058,-0.07816309313727808,-0.011396006861330518,-0.1537618463638244,1.0,0.07131491417122136,-0.006153910772582383,0.05059899568311523,0.025522605932967245,0.024879400845828563,-0.13529756563225018,-0.014413006085612428,-0.013218302749556975,-0.03395840573678232,0.028439164977871332,0.019444832195798928,-0.047080415156180395,0.026401220233388846,-0.0006343090123606384,-0.019688088634335448,-0.5979398594232966,-0.08745892765740804,0.4317794009006159,0.018345493836500307,-0.06926136891213013,-0.02213083256967737,-0.09577486801175805,-0.02712614888441093,-0.005745985151099439,0.038392201690476656,-0.004728113402441252,0.0039404729510116,-0.011856383342020181,-0.026251228249636584,0.02631078988504313,0.00038697997684321805,0.0012582317212884446,0.020352752673340406,0.011342244171479462,0.024654528722996335,-0.04739023254993299,0.021940497924353184,-0.01017777993550304,0.07108933537155347,,0.017898070366651826,-0.00517446002174822,0.37040290868005965,0.18647743330523267,-0.09203184304376202,-0.5441006692080299,0.038605561342089915,0.2198270826377983,0.26122543532923237
HorzApprAngle,-0.0025959171319788494,-0.00026323683227436723,0.02630019061891659,-0.1269341057578191,-0.11639094228044086,-0.040257634554043166,0.006462937227393782,0.016039164870746712,0.046945293738333504,0.004365398179610825,0.07131491417122136,1.0,0.10791961469275047,0.561923371634631,0.20829039133865593,0.002439538112878683,0.006639021454158745,-0.04548043495161611,0.014476723677945839,-0.015284941976876852,0.0021548344062556524,0.035760586500100104,-0.5719629923587527,-0.05085187895129062,0.022909535955061934,0.38286103420186296,0.04820445015980847,-0.18192042740671927,-0.3838432096195651,0.05656415750241563,-0.6756739056169292,0.1266166662245401,-0.022208473497843825,0.3299169134498913,-0.18120933416568646,-0.09882906328209567,0.1464255751761301,0.19235662869166495,-0.1701703821603261,0.11630545439233499,-0.12317770730496191,-0.0033324506430835654,0.11423849183780256,0.19702249275046116,-0.030514209575808988,0.20652918325318173,-0.5786724662176383,-0.12702083975147663,-0.15751523298243386,0.6815168024667112,,0.02875263618927005,-0.006798871315509601,0.09343529370810574,0.003654753222795275,-0.03036511820494333,-0.04217408397850793,0.01674374936067162,0.003173621687785627,-0.014750038362854679
HorzBreak,-0.03256084265432348,-0.0289517273242043,-0.04132827148231448,-0.11155021006016429,-0.023495563924658503,0.024767508213859143,-0.023271761768315385,0.01269398879794283,0.17424720765064175,-0.024143551839496288,-0.006153910772582383,0.10791961469275047,1.0,-0.7616420949508467,0.16978923586876302,0.031788014451256855,-0.02657643279803021,-0.0187047028911382,0.02939194757696905,-0.03152415389748164,0.014495252843074295,-0.08131390937964345,0.6251207049275468,-0.10075655710951034,0.03239199763290041,0.352945880895461,-0.1980638559730041,0.06847708765762753,-0.0013813995368330801,-0.029433441832221775,0.6007962732913165,0.33919544995076284,-1.2141369123224982e-05,0.8169516563372341,-0.058986887272261465,-0.1486085275043552,0.24758858024156025,0.2653230289148624,-0.1851983154813892,0.3343796414932109,-0.33978405811222595,-0.9882984955071654,0.2771764628753726,0.19441027310299674,-0.9967353367625683,0.17632621830365244,0.7462136454944392,-0.34007756018601465,-0.17732610606753973,-0.5791963228881786,,-0.06523079048888662,-0.03603316791728127,-0.020694950446879704,-0.0004272142960922542,-0.0014638928932666725,-0.019217499961827592,0.05336231577122076,0.013609627205683279,-0.024272316948055404
HorzRelAngle,0.025729148288359708,0.02344310275925562,0.0511350047434214,0.010551414406966518,-0.056476868690700205,-0.04720673073268847,0.023668564588871017,0.00020853264238970953,-0.11619706025712966,0.02300258918424785,0.05059899568311523,0.561923371634631,-0.7616420949508467,1.0,-0.005684782116492229,-0.02486305355375953,0.026493138312585714,-0.014671229590094896,-0.015466239766935657,0.01569998580240469,-0.010680771559431798,0.0910031144615063,-0.8932280568259332,0.050216016406506116,-0.012523938553879541,-0.0450185904067201,0.19015275223501488,-0.17147682207220272,-0.24392382985212782,0.06223286634227479,-0.9405165913733488,-0.20002084473902015,-0.014577558485793238,-0.4646549976381693,-0.0635580004406941,0.0590899423458822,-0.11137699006097825,-0.0957186741917829,0.042853330596449066,-0.20248604843521484,0.202916646386304,0.8203137901820186,-0.15731772330968122,-0.03348079274970957,0.8095495498742291,-0.012306400669298553,-0.998103093320173,0.2004754874264196,0.04439297263705026,0.9264516259205903,,0.07384488714154368,0.025930008574998366,0.0782959900693302,0.003094076626796799,-0.018650960884951297,-0.011653206662316404,-0.03359488117824792,-0.009302192290341862,0.01050518046409493
InducedVertBreak,0.06460098636277689,0.08636065589803442,0.03928016441874543,-0.008792340294515696,0.015226688261163931,0.021539778186848366,0.1118789450267427,0.094504266848904,0.2148991842614063,0.10399783954459223,0.025522605932967245,0.20829039133865593,0.16978923586876302,-0.005684782116492229,1.0,-0.020227302252751628,0.11275621221188045,-0.05789279850171719,-0.012103006890481927,-0.05927836263534536,-0.01848612362993393,0.042679070588349875,-0.05330175776438086,-0.04002389707068073,0.22167659544398738,0.05083160736615583,-0.07607351010000003,0.14338984124269138,-0.002479242994192268,0.2990336693812531,-0.06670295536787636,0.598109343342843,-0.002857153979512829,0.2168674334685279,-0.10157921185661577,-0.17723844245867987,0.7502523037375416,0.928854540126668,-0.7849632692341053,0.5585547047259987,-0.593262879456485,-0.14940191945057943,0.5361677473152157,0.9853910224776335,-0.15471850680750293,0.9981039173351143,0.007042383982791802,-0.5957838137378039,-0.7398090239003107,0.07242386849662022,,0.18133750166320994,0.025732173475913202,-0.01634654923848896,-0.010944410880371567,0.015190841856982409,-0.020896352175139403,0.03758953075181886,0.012167238576921095,-0.01363117929232903
Inning,-0.016957033174347724,0.007140083870448973,0.0709283209526076,0.01208056531140985,-0.007886629227569612,-0.002873359164702348,-0.042977705469339385,-0.04356790153424333,0.047352959859185084,-0.03525268848780797,0.024879400845828563,0.002439538112878683,0.031788014451256855,-0.02486305355375953,-0.020227302252751628,1.0,-0.044134656871163844,0.014299704441116962,0.020126853796475233,-0.0033902517010393532,0.9582670325488885,0.011814543529336228,0.03961209322365629,0.01912834139944643,0.0032924530060990677,0.055425731086797755,-0.16020380365378875,-0.24834643779463064,0.07882058748891665,-0.0503525434791744,0.035150019480074686,0.030110276296426763,-0.024700750024998316,0.0231559135624227,-0.02275421235928789,0.017749593048937386,0.022037566355464538,0.0011668605612550618,0.023791136071210684,0.02382129023492669,-0.03187517473969668,-0.032284442332338376,0.048040078473808735,-0.014335874885728843,-0.031570520127642505,-0.01961732785188007,0.024328420083068944,-0.02965213532136824,0.024634751168113842,-0.03548062018009815,,-0.04992932571790687,-0.03994150855881049,0.026976145818005896,-0.014719017517521834,0.014212493895703903,-0.030778491136138016,-0.0020572494599085975,0.016360068635236584,0.009086114480873817
LastTrackedDistance,0.6968406835012634,0.006935749771741045,-0.044967377538035196,0.026498378852124634,0.01131230672856114,0.014611221957883483,0.9944702786890053,0.36974936685123483,0.008582174321261774,0.9831433915558078,-0.13529756563225018,0.006639021454158745,-0.02657643279803021,0.026493138312585714,0.11275621221188045,-0.044134656871163844,1.0,0.0075815488628103184,-0.2759316036777091,0.026407339059420734,-0.037862808259773846,0.06056744640125737,-0.01877711591499543,0.0020223499339624305,0.10990550857628145,-0.026973861521114785,0.1938764510281509,0.8252927516953712,-0.00815915085909574,0.035090902718105804,-0.03050335934249406,0.02840581325871211,0.09889192818861209,-0.016946961608519873,0.00021419840639565698,-0.03251826867526645,0.10403900656061145,0.08547524408252509,-0.037232869842001574,0.018775392727722807,-0.025402432517255515,0.024047715228808487,0.04509142400335617,0.1082803316015837,0.02693271539780501,0.1079858743816248,-0.022672101455104097,-0.02842474045892644,-0.02976329806531813,0.0301259038112679,,0.031991979073179626,0.326317298343757,-0.05149799399468163,-0.005997012748299708,0.017285323326011726,0.02072195697920958,0.04520627681635129,-0.007767293483583154,-0.047068172273617745
Outs,-0.01807251044899764,0.011478035335687892,0.01966956940782792,-0.005461875925321082,0.008122556142842949,0.004336943266449226,0.006154090913595165,-0.04575536671542341,0.017242354615695052,0.01141958708586263,-0.014413006085612428,-0.04548043495161611,-0.0187047028911382,-0.014671229590094896,-0.05789279850171719,0.014299704441116962,0.0075815488628103184,1.0,-0.03287256078447856,0.6575852179158992,0.058436907916590744,-0.014886719276881998,0.018040462210020407,-0.00823313873472929,0.004774905107448525,0.002097992903817476,-0.16987127637195087,-0.1045064049171692,0.02323760751352911,-0.007202177746392551,0.02927995420083835,-0.04343044413700193,0.014128690534566847,-0.031861078372761455,0.027403390669833886,-0.012184019283610984,-0.04426596989930388,-0.05668762592034549,0.05049489825519544,-0.041805728569527634,0.04011841995020812,0.01275174916884835,-0.03346615549109382,-0.05288504085658833,0.014172493998620623,-0.057157127182687555,0.015951104830301047,0.04318746134483001,0.04823587885876861,-0.03129407751706742,,0.0025987802235309786,-0.021936795619434738,-0.01414427859653058,-0.005394715287244065,-0.016134771218006737,0.04337323589489902,-0.034385371571318386,0.0010480360982223053,0.009687230647701014
OutsOnPlay,-0.21997768722646296,-0.04475898972374405,0.02200633597236323,-0.014138688900711719,0.01646421626779776,0.021503949945179724,-0.27831060484954995,-0.20843163190017877,0.003616833461502793,-0.25430023271352686,-0.013218302749556975,0.014476723677945839,0.02939194757696905,-0.015466239766935657,-0.012103006890481927,0.020126853796475233,-0.2759316036777091,-0.03287256078447856,1.0,0.03276639359157146,0.016815511434224443,-0.03013862153153827,0.019285375145980336,-0.02114953882806014,-0.021197607777691002,0.04207225223792165,0.08361952150337763,0.03067302434338267,0.02181341348313948,0.0005455420717334352,0.018405974615108418,-0.008278226681429373,-0.22578461566879018,0.0314580071998351,0.001965064670660982,0.02675779136609676,-0.019016034024060074,-0.010807245018073413,-0.0007590866300924985,-0.007523578738129791,0.006483096318059848,-0.028942858423773785,-0.008517074610593344,-0.018051248691803346,-0.02883738334375927,-0.011288869030438827,0.014036575488113375,0.008138318655055436,0.0007794684573406764,-0.019124581310809415,,0.00041791196615090475,-0.8858117609957502,0.03806197367381116,-0.08951310085616275,0.06154342760452558,-0.05990140234437148,0.08807420463723126,-0.06982080523743724,0.06457395678089772
PAofInning,0.022655645924381868,-0.0013148871169956003,-0.006721790287737323,-0.005790398052804603,0.011023792144993175,0.014242232679532207,0.024966978304687953,-0.014317818242976154,0.013420517264592233,0.029761406080520164,-0.03395840573678232,-0.015284941976876852,-0.03152415389748164,0.01569998580240469,-0.05927836263534536,-0.0033902517010393532,0.026407339059420734,0.6575852179158992,0.03276639359157146,1.0,0.07800098600057723,0.02033018189032688,-0.00589296865911584,-0.009267442272385528,-0.007448314536522709,0.02436751339029256,-0.017607630986221433,0.055658917259558904,0.020666176568752904,-0.008768683023792951,0.003408455114694409,-0.094666731720426,0.2767846868185382,-0.04155851118380717,-0.026802720398736102,-0.003188276045354143,-0.06861232410327803,-0.07999650481533727,0.0643910197560745,-0.09259892383841654,0.08881737852993163,0.031238618198767238,-0.07888442887532697,-0.06037360267020372,0.029791102272965105,-0.05930808756732141,-0.016900290427488127,0.09450213839537797,0.06148884174897539,-0.00576819869660852,,0.003862752082894057,0.005701695851309547,-0.016156796538902837,0.006986355996674688,-0.04366507887572591,0.034858589015989074,0.002506101185623309,0.00590354203551501,-0.003326899642601108
PitchNo,-0.014034708637005015,0.030483576648493164,0.07262510204998761,0.008353585708027167,-0.007567116105692982,-0.00367098704804706,-0.03575159011956435,-0.04559304703111987,0.0796536619034277,-0.02812579178972492,0.028439164977871332,0.0021548344062556524,0.014495252843074295,-0.010680771559431798,-0.01848612362993393,0.9582670325488885,-0.037862808259773846,0.058436907916590744,0.016815511434224443,0.07800098600057723,1.0,0.03975180883040472,0.03232630164493699,0.04223074465950303,0.008059605587301961,0.05559391002966553,-0.0833639190895895,-0.21446574831260404,0.06681212868236419,-0.05961765275248599,0.025369971861601275,0.009895660114952373,0.005366594749772361,0.008810915180877331,-0.03516011948007433,0.03239485389748246,0.02247698744163894,-0.003946139906094831,0.033727327643647616,0.005299019608988216,-0.018435373516564095,-0.01435277943992197,0.024890329424739094,-0.014112888568759733,-0.014013030914184052,-0.018123427953890065,0.010025075741902601,-0.00999015021347796,0.036240812194777865,-0.026327070997831905,,-0.05719276511555305,-0.02930445865016676,0.028557737166526785,-0.009548426181529948,0.00546120376253331,-0.030771945707499526,-5.6564165070597025e-05,0.019707496839100308,0.00641388067503907
PitcherId,0.0317142817804341,0.022299831520086567,0.1767561594423587,0.04575990666141201,0.03401640458394991,0.032525706224313104,0.06055878423939933,0.04135138551891211,0.053683806241516724,0.05499094952396817,0.019444832195798928,0.035760586500100104,-0.08131390937964345,0.0910031144615063,0.042679070588349875,0.011814543529336228,0.06056744640125737,-0.014886719276881998,-0.03013862153153827,0.02033018189032688,0.03975180883040472,1.0,-0.08270482703672999,0.024798289726173286,-0.0073675343348649025,-0.02296944863749396,-0.28389010059457337,-0.24129877977837805,-0.11577620097800116,0.0733082845677597,-0.085763628218643,-0.0604762948185817,0.04960902930925642,-0.05378205931053885,-0.03625513902876439,0.014212602373137638,-0.030782551270879418,0.009641353867857945,-0.044990106187395885,-0.055371631534129113,0.042468643111669466,0.09253401691234608,-0.06809909863361607,0.03674049227807689,0.0851888594627491,0.043564317124156995,-0.09400042474428803,0.05951569630502133,-0.04183680205286164,0.084428522342659,,0.07341391054288962,0.03241132036787836,0.008349657433864231,-0.026497441770023968,-0.02068730061429366,0.0049467557929188345,-0.0062449668289162935,0.02388028704938611,0.026068683333527246
