,Batter_ID,Up_The_Middle_BIP,Up_The_Middle_Hit,Up_The_Middle_BIP+Hit,SS_BIP,SS_Hit,SS_BIP+Hit,3_4_Hole_BIP,3_4_Hole_Hit,3_4_Hole_BIP+Hit,1B_BIP,1B_Hit,1B_BIP+Hit,5_6_Hole_BIP,5_6_Hole_Hit,5_6_Hole_BIP+Hit,2B_BIP,2B_Hit,2B_BIP+Hit,3B_BIP,3B_Hit,3B_BIP+Hit
90,8884522,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,8890878,2,1,7.692307692,2,0,0,3,2,15.38461538,0,0,0,2,0,0,0,0,0,4,0,0
92,8884531,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,8884523,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,666179,3,1,5.555555556,1,0,0,7,3,16.66666667,5,0,0,0,0,0,1,0,0,1,0,0
95,8884520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,8884540,0,0,0,0,0,0,1,1,50,0,0,0,0,0,0,0,0,0,1,0,0
97,8884528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,670133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,25
99,8883994,1,0,0,0,0,0,0,0,0,0,0,0,1,1,50,0,0,0,0,0,0
100,8883999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
101,8893300,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,8883991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,8882971,0,0,0,1,1,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,8882950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
105,8882966,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,8882079,1,1,5.263157895,8,0,0,0,0,0,0,0,0,6,1,5.263157895,2,2,10.52631579,2,1,5.263157895
107,1123663,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,8882084,13,3,7.894736842,6,2,5.263157895,3,1,2.631578947,2,0,0,5,4,10.52631579,3,1,2.631578947,6,0,0
109,8892144,14,5,17.24137931,7,2,6.896551724,1,0,0,2,1,3.448275862,0,0,0,2,0,0,3,0,0
110,665052,7,6,30,2,2,10,6,0,0,1,0,0,0,0,0,4,0,0,0,0,0
111,8882085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112,8892160,4,0,0,2,1,5.555555556,4,1,5.555555556,3,0,0,0,0,0,5,1,5.555555556,0,0,0
113,8882072,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
114,8882091,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,8882086,1,0,0,1,0,0,0,0,0,0,0,0,1,1,33.33333333,0,0,0,0,0,0
116,676939,7,3,18.75,3,1,6.25,0,0,0,0,0,0,5,2,12.5,0,0,0,1,0,0
117,8882077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
118,670365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
119,8894485,1,1,33.33333333,0,0,0,0,0,0,0,0,0,1,0,0,1,1,33.33333333,0,0,0
120,8894504,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,680938,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
122,670136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123,900084,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,8891418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,900067,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,33.33333333,0,0,0
126,663728,1,1,12.5,2,2,25,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0
127,900083,1,0,0,1,1,33.33333333,0,0,0,0,0,0,0,0,0,1,1,33.33333333,0,0,0
128,663622,4,2,20,0,0,0,2,1,10,1,0,0,0,0,0,2,0,0,1,0,0
129,900068,0,0,0,1,1,50,0,0,0,0,0,0,1,1,50,0,0,0,0,0,0
130,900077,1,0,0,1,0,0,0,0,0,0,0,0,1,1,33.33333333,0,0,0,0,0,0
131,8891416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,8880056,2,1,20,0,0,0,0,0,0,1,1,20,0,0,0,2,0,0,0,0,0
133,8890000,4,2,15.38461538,2,1,7.692307692,2,2,15.38461538,2,0,0,0,0,0,3,0,0,0,0,0
134,8882314,8,4,28.57142857,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
135,8880069,1,0,0,3,0,0,0,0,0,0,0,0,1,1,14.28571429,0,0,0,2,0,0
136,8890004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
137,8880048,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,8890002,0,0,0,2,0,0,0,0,0,0,0,0,2,2,33.33333333,0,0,0,2,0,0
139,8880067,0,0,0,0,0,0,1,1,50,1,0,0,0,0,0,0,0,0,0,0,0
140,8890001,2,1,9.090909091,2,0,0,0,0,0,0,0,0,4,3,27.27272727,0,0,0,3,0,0
141,8893356,0,0,0,1,0,0,0,0,0,0,0,0,2,1,33.33333333,0,0,0,0,0,0
142,8882402,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,8882407,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,8893363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,8887754,1,1,33.33333333,1,1,33.33333333,1,1,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0
146,8883384,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,33.33333333
147,8883393,0,0,0,1,1,33.33333333,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
148,8887744,1,0,0,1,0,0,1,1,16.66666667,0,0,0,1,0,0,0,0,0,2,0,0
149,8887738,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,8887741,0,0,0,0,0,0,1,1,50,1,0,0,0,0,0,0,0,0,0,0,0
151,8887746,1,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,8883387,1,1,33.33333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
153,8888744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,8882775,1,0,0,1,1,33.33333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,8900669,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
156,8888760,53,22,17.32283465,20,3,2.362204724,5,3,2.362204724,8,3,2.362204724,13,6,4.724409449,19,8,6.299212598,9,4,3.149606299
157,680968,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,8899333,2,1,20,1,1,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
159,8899326,20,8,13.33333333,11,2,3.333333333,6,3,5,0,0,0,8,6,10,7,3,5,8,3,5
160,8894512,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,8882769,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,8900667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
163,8899819,3,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
164,8888552,0,0,0,3,1,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,8890767,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
166,663457,2,0,0,0,0,0,0,0,0,1,1,33.33333333,0,0,0,0,0,0,0,0,0
167,8889850,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,8899327,2,2,25,1,1,12.5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
169,8881636,2,1,33.33333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,8891474,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,25
171,8899821,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
172,9001022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2211528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,8890766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,8882693,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
176,8882665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,8899329,1,1,20,2,0,0,0,0,0,0,0,0,0,0,0,1,1,20,1,1,20
178,8899332,7,4,22.22222222,1,0,0,1,0,0,1,1,5.555555556,4,2,11.11111111,2,1,5.555555556,2,1,5.555555556
179,8893965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
180,8888872,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0
181,8893957,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,8893961,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
183,8893954,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,8893978,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,8893959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,8893964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,8893960,1,0,0,0,0,0,0,0,0,0,0,0,1,1,33.33333333,1,0,0,0,0,0
188,8901580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
189,8892092,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190,9999254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,8892087,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
192,8892077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
193,9999253,2,1,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,9999251,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,8889930,5,0,0,3,0,0,2,0,0,0,0,0,5,2,9.523809524,2,1,4.761904762,4,1,4.761904762
196,9999249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
