,Angle,Direction,HangTime,LastTrackedDistance,ExitSpeed,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,PlayResult
1018,0.43939690556166144,0.20292072765559568,0.018574802379669755,0.01863128559805418,0.2583860199231187,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1019,0.6342971074104916,0.4816083189134992,0.020672266597446226,0.021713873071554937,0.6575712939401738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1020,0.9414601960964548,0.3043386210141826,0.2951167261646568,0.3158752022754761,0.7974407796353309,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1021,0.4884726016364872,0.8750897107251079,0.020450278742593333,0.0230606216056757,0.5067050883820392,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1022,0.958593026269452,0.7827395470284203,0.37072319599852,0.3639265148559238,0.7017212917348209,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1023,0.9387866228997616,0.4599499747528524,0.1975088038602429,0.20783385741821345,0.6924897322846794,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1024,0.7303833189135887,0.8426041017964907,0.028389766633418186,0.029731314171845536,0.7810949839243905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1025,0.524637741672061,0.23520016405666944,0.012244040374161493,0.02089334297852446,0.5423158494107571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1026,0.9493109125426216,0.7679403632933021,0.32479365655607456,0.3377582599248751,0.8655737303026224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1027,0.7852421057729412,0.009459904420241359,0.04269107586589607,0.057550712785363736,0.6808162858003953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1028,0.8208347527664198,0.11038235812377556,0.0555499224145596,0.06594352527221209,0.5802851119508754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029,0.8751067441784737,0.6016893890685437,0.08611297597301677,0.08229813742884197,0.7757474361047457,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1030,0.8454995129919478,0.4625227258785177,0.05687271352036161,0.06865545073055604,0.8010343312710276,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1031,0.8685128991263857,0.19548005506412813,0.17408407225942168,0.11800787090100287,0.2776403681075745,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1032,0.8299495232182061,0.7149154819431321,0.0765136048068187,0.0533529687349056,0.35018250111680715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1033,0.9934113379473646,0.3330855440343434,0.7417378077918527,0.764926437025481,0.7869294334805507,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1034,0.884187333916323,0.9320499781134828,0.1204808824001178,0.13729006916530515,0.8245897708306452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1035,0.6484905717518923,0.5829051405770126,0.018983149993209464,0.01941339300350804,0.6364102477606459,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1036,0.5713206502253294,0.5079490204534188,0.01387925908069249,0.009984715487618171,0.5383151607724492,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1037,0.5475696816590199,0.4900587817468093,0.031653808530814,0.007639086994486322,0.3613479813655264,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1038,0.5081890076829207,0.3934178761067608,0.02793848315276927,0.036020126330831986,0.32334387579650825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1039,0.7783594976451488,0.6463927962053263,0.037038153207547296,0.04867091821688498,0.7615424367424138,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
