,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult
20587,-27.77305376,0,1000017374.0,1,9.520272398,22.57280146,7.984339631,52.05650209,5.887984737000001,0.06475036599999999,,0.03683791,-18.09459172,3.464663229,21.61818918,4,7.548949836,0,1,1,127,8882721.0,0,1,2.021225218,0.352960527,,,,6.422913102000001,-1.359723871,82.09870787,0,140.1219598,2043.606602,0,-6.75382368,-20.45953682,-2.89688057,74.03912336,0.466871807,15.41790371,26.13271653,-14.31923063,10.91491276,12.64009581,-6.672793167000001,-119.0297323,-6.637766055,1.090859671,50.0,6.177523337999999,Out
20593,47.48370289,0,8899326.0,1,-9.221637878,-18.22655221,253.8929185,88.30249281,6.112537098,5.894474487,3405.469168,-0.11409737,-15.59703495,2.814096704,6.472827604,4,105.0241935,1,1,3,133,8882721.0,0,2,2.9367886710000004,0.064280032,107.5679317,118.25047659999998,-23.00181441,6.095659387,-1.2396778999999998,79.41937861,0,112.66616299999998,1825.802844,1,-6.984013227,-36.85009802,-0.095103844,73.69723931,0.473729475,12.52270012,19.11232218,-27.33519922,9.140714357,3.532028969,-5.24512051,-115.6183093,-1.227149442,1.0323542,50.0,6.06879817,Out
20596,1.562787247,1,8888763.0,1,-16.97462031,-16.74383092,58.00659651,90.77028327,6.055494699,0.445502319,2263.499543,-0.919388587,-19.31000261,2.724893262,12.26812641,4,52.59477374,2,1,4,136,8882721.0,0,3,1.75603462,-0.33578817200000005,,,,6.193248836,-1.250385934,80.42957659999998,0,122.51391470000002,1816.107264,1,-7.767554894,-30.5896562,-2.036917392,73.86330459,0.471179479,15.54993503,22.1370378,-22.1759476,11.23906725,7.226353605,-5.015635597,-116.91725259999998,-5.032590207,1.049302461,50.0,6.018573062000001,Out
20603,-69.69142691,1,8897231.0,0,-26.03151394,-17.31303861,1.62033879,62.57435057,6.395996678,0.026881714,,-0.717598538,6.895907417999999,-2.026834111,7.8025831760000015,5,1.479130838,0,0,2,143,675965.0,1,2,2.393394575,0.4662946220000001,,,,5.896769059,1.756183068,88.34729449,0,221.3506367,2139.592891,0,-6.481418681,-27.17496355,-1.3460879630000002,81.03974649,0.425663284,-7.288483511,26.71095577,-24.36880638,-4.352272455,4.660851669,4.3497745010000015,-128.6099167,-3.818777144,-1.614191393,50.0,5.78766417,Single
20605,-9.529955199,1,1000025935.0,1,18.48524839,21.08613471,12.39003068,73.41840284,6.585112455,0.116589966,,-0.940136162,3.347284811,-1.574508669,10.7367669,5,10.63120631,0,1,3,145,675965.0,1,2,2.367904453,0.526968173,,,,5.856585214,1.691029053,90.53854527,0,197.2687993,2371.960535,0,-5.955337706,-21.99555281,-1.80578576,83.85393051,0.411774938,-3.982308358,25.17941697,-20.82626421,-2.2349612480000003,6.368632457,3.529037986,-131.928955,-4.800513003,-1.5848910580000002,50.0,5.723689437999999,Out
20607,-4.723092919,1,8897230.0,0,-19.52245214,-23.23053059,24.927564800000006,95.73829705,6.642097063,0.170130005,,-0.95909217,6.702804671,-2.231326647,1.317767169,5,21.05915789,1,1,4,147,675965.0,1,2,2.0291551,-0.107151394,,,,5.658093785,1.377540591,90.53494127,1,258.6246184,2163.413663,0,-7.033876072000001,-31.39623791,-1.105370242,83.90312461,0.411659722,-7.590215943,25.61470251,-30.38342746,-4.267954928,1.006860697,4.947603555,-131.912423,-3.447384,-1.230069448,50.0,5.570499531,Out
20610,-31.86848203,0,8897237.0,0,36.9989491,44.03055787,4.962727252,72.66044175,5.512135874,0.041316528,,-3.987455163,-17.42196797,-0.720389677,-8.304389879,5,3.809949257,2,1,5,150,675965.0,1,3,2.370701617,-0.389296154,,,,5.685534728,1.73611523,81.88390639,0,64.62173959,2461.221182,2,-8.476896653999999,-50.77364769,0.979859312,74.87590943,0.469038891,12.88458705,24.97445468,-38.89250786,9.071733817,-4.73030872,2.047184046,-119.0275889,0.431446129,-1.661930791,50.0,5.737367183,Out
20614,8.61081791,1,8888760.0,1,44.94117007,39.63131913,149.4761159,86.24466251,6.272351709,1.348244019,2060.688696,-0.705126703,-14.05654859,1.96559245,5.317673134,5,133.4858626,0,0,1,154,8882721.0,0,4,2.835529036,-0.776059907,79.64365763,6.5099106970000005,75.8738358,6.116000702000001,-1.417088677,72.33678261,0,110.89826200000002,1286.000942,2,-8.21902475,-47.34239802,0.720731549,66.27712236,0.522290635,9.233642273,18.80638109,-29.16179683,8.274844468,2.699467208,-3.269264937,-105.27077079999998,0.167896236,1.278910307,50.0,6.146053638,Double
20616,10.49422439,1,8888946.0,1,-26.36799686,-21.07069385,151.68914750000005,90.44236773,5.987708701,1.368212891,1997.348987,-0.311121013,-14.11784333,2.339650063,6.530264152000001,5,151.68914750000005,0,0,2,156,8882721.0,0,2,1.854468028,-0.342959725,99.92840588,7.715275243,-45.98132013,6.0347388739999985,-1.335769532,80.05168809,0,114.9581078,1976.5273170000007,0,-8.029479258,-36.47195704,-1.230007435,74.16356352,0.471972791,11.39212465,20.29561765,-26.85200699,8.225210742,3.842559206,-4.352272747,-116.5009876,-3.556582516,1.159322948,50.0,5.917479007000001,Single
20617,-12.00927394,0,8898911.0,1,-22.53970441,-31.95583776,10.18919252,74.18139367,5.966385327999999,0.08503051800000001,,-0.878922196,-15.82265051,2.106120157,17.90459148,5,10.18919252,0,2,3,157,8882721.0,0,1,2.004387629,-0.841341254,,,,6.2994301770000005,-1.47613572,80.82580268,0,138.59590590000002,1982.158645,0,-7.041799717999999,-24.74224654,-2.405889204,73.96820365,0.470018483,12.77460788,22.77419264,-17.7087766,9.162750197000001,10.37540054,-3.861720871,-117.4846603,-5.656955504,1.318270956,50.0,6.095080791,Out
