,Batter_ID,BIP_middle,actual_hits_middle,expected_hits_middle,shifted_hits_middle,BIP_SS,actual_hits_SS,expected_hits_SS,shifted_hits_SS,BIP_3_4,actual_hits_3_4,expected_hits_3_4,shifted_hits_3_4BIP_1B,actual_hits_1B,expected_hits_1B,shifted_hits_1B,BIP_5_6,actual_hits_5_6,expected_hits_5_6,shifted_hits_5_6BIP_2B,actual_hits_2B,expected_hits_2B,shifted_hits_2BBIP_3B,actual_hits_3B,expected_hits_3B,shifted_hits_3BBIP,total_expected_hits,total_shifted_hits,BIP,BIP_1B,BIP_2B,BIP_3B,shifted_hits_2B,shifted_hits_3B,shifted_hits_3_4,shifted_hits_5_6
100,8883999.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1,0,,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101,8893300.0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,8883991.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103,8882971.0,0,0,0,0,1,1,1,1,0,0,0,,0,0,0,1,0,0,,0,0,,0,0,,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,8882950.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
105,8882966.0,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,8882079.0,1,1,1,0,8,0,2,3,0,0,0,,0,0,0,6,1,0,,2,1,,1,2,,6,10,19.0,0.0,2.0,2.0,0.0,2.0,0.0,5.0
107,1123663.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,8882084.0,13,3,4,0,6,2,0,0,3,1,1,,0,0,0,5,4,4,,1,0,,0,0,,9,4,38.0,2.0,3.0,6.0,0.0,0.0,1.0,3.0
109,8892144.0,14,5,2,0,7,2,0,0,1,0,0,,1,0,0,0,0,0,,0,0,,0,0,,2,0,29.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0
110,665052.0,7,6,4,0,2,2,0,0,6,0,1,,0,0,0,0,0,0,,0,1,,0,0,,6,1,20.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
111,8882085.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,8892160.0,4,0,0,0,2,1,0,0,4,1,2,,0,0,0,0,0,0,,1,2,,0,0,,4,2,18.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0
113,8882072.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,1,,0,0,,0,0,,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,8882091.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115,8882086.0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,1,0,,0,0,,0,0,,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,676939.0,7,3,3,0,3,1,1,1,0,0,0,,0,0,0,5,2,3,,0,0,,0,0,,7,2,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
117,8882077.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
118,670365.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
119,8894485.0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,,1,0,,0,0,,0,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
120,8894504.0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,680938.0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
