,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,1B,3_4_Hole,2B,Up_the_Middle,SS,5_6_Hole,3B,PlayResult,cluster #
33,0.038060140338371976,0.0029203105973733914,0.016057733135913924,0.2289794614056789,0.5508944452332964,0.2140944430029863,0.7371059615518938,0.17730836146834178,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
34,0.15847629745221894,0.10255198567906072,0.2276330504905261,0.2542935784636176,0.9887527659066028,0.4752301685581743,0.5256730578586892,0.5405238091398997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
35,0.3431282106096811,0.3055778800825778,0.6274406033203979,0.34248892582939394,0.8425189432459691,0.8953729282882277,0.7759058610444003,0.6779672853664965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
36,0.30307013288691514,0.25077155829300196,0.5203943602903819,0.4840540065141467,0.9731254821967736,0.7652920077536343,0.6646404212074444,0.5259063921256679,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
37,0.2134232397294845,0.18787795425126416,0.4067758679809345,0.1597016572087383,0.9923310977066152,0.7452718806431678,0.7415186916142718,0.4768131511023439,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
38,0.106856830247698,0.08107092408114856,0.1290203403512607,0.13866367973828742,0.6556406204467233,0.4337150980126568,0.8802646250749775,0.19100970560996794,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
39,0.22066733826792367,0.12051893907996895,0.2660481822662614,0.3417738118049253,0.9890635454730834,0.4149878939227469,0.3285542865604145,0.4501718441424742,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
40,0.2819891555657273,0.2239845290232814,0.43673039875746894,0.41776729220477615,0.9580425337833116,0.6749913520536905,0.6041376089505381,0.3603624773544849,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
41,0.28724614421250344,0.2277710241895901,0.4663713358551106,0.28774731165406753,0.9998350285845904,0.7636557645509381,0.6638679816914475,0.469300090594347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
42,0.03482381150770804,0.010986392382665824,0.015563533468207285,0.10279252172293794,0.8494220576274203,0.24033450967176526,0.8598625203761987,0.3128573140909733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4
43,0.21067675177479311,0.18298351305313487,0.4096648404293247,0.2341827289950092,0.9838974452817316,0.7750447060213589,0.7761543089370915,0.4583348305387394,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
44,0.3256119872900736,0.2732342467665915,0.5403381560643,0.3742849724126,0.9518653143852712,0.7416976619821557,0.5824116855084338,0.4149333479681301,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
45,0.20302845289484364,0.19923168033426025,0.4994732097773633,0.3133444444128608,0.7457174663139541,0.8036278762945339,0.9851785241873,0.8020747464266511,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
46,0.6482009658372889,0.5825330555915248,0.6337617242315607,0.2895472499725652,0.9187258555497012,0.2428405689887629,0.4811881820087114,0.6579900703383293,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
47,0.13720589097264554,0.13390702097600912,0.30926861168390085,0.2696344954124517,0.9555745816455006,0.7127830207296216,0.8612166832287145,0.6581402889460709,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
48,0.04056168743435369,0.008406417909527066,0.02009814824572921,0.03710818084388888,0.9968791412739724,0.2316617883248504,0.7556953126027519,0.5269790817188739,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
49,0.24647890322184884,0.1402036677273086,0.27006442616958565,0.3974555057522836,0.564807357824884,0.4119507153957172,0.3618670856671746,0.8668882268995441,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
50,0.4311196889818088,0.3846441840549094,0.6531118286420792,0.34622696637473704,0.8395163752741737,0.6723921110590817,0.5850348949399888,0.6895676330613494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
51,0.6124037647515177,0.6379436172764917,0.7838539465514446,0.4742797637142081,0.969946481821894,0.2486039827800505,0.7089363661154255,0.4139963999638827,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
