,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,PlayResult,cluster #
3440,9.203295602,5.65258176,1.133615112,1241.899916,106.9400369,134.0538281,98.97049668,0,2
3441,45.27983986,79.57428009,4.449032593,4619.143204,88.61393056,109.8460475,72.84230754,0,1
3442,18.67980602,25.00461139,2.44163147,1168.156608,91.85035715,220.9582175,82.13830435,1,2
3443,22.65605677,39.63285786,3.78026123,2787.503603,107.9325459,316.9803244,90.12162186,1,0
3445,53.05552587,123.0370841,5.663561401,4218.474363,109.2892194,102.1483142,91.34284017,0,1
3447,17.09996898,27.8002104,3.081375122,3081.014499,105.209093,279.8248562,94.92688103,0,0
3448,65.02899649,138.5384679,6.183264771,5230.222685,97.92488071,51.03336594,86.0701303,0,1
3449,15.00451319,23.97942156,2.877120972,2448.631664,109.5291389,279.03527180000003,95.5112861,0,0
3451,43.24138977,80.04197186,4.99968689,2710.434068,109.30987,150.4565386,76.98169996,0,0
3453,45.12168728,100.2920873,5.819581909,3107.4285670000004,103.0258591,82.27444483,92.13685614,0,0
3454,51.68399024,116.8729081,5.89916687,4244.190321,94.46773525,60.812834,90.86017031,0,1
3457,18.10184623,34.75761935,3.976776733,2015.578909,109.6086982,353.4543748000001,104.8320392,0,2
3459,9.783323665,12.65332046,1.900628052,2145.397477,107.8933511,210.2555145,96.22245222,1,2
3460,9.843426477000001,14.38700768,2.055993042,2846.903503,102.5439507,217.7193552,95.16396005,1,0
3462,57.69450682,110.2270938,5.468793335,4240.071151,109.59481940000002,48.25311266,72.99448423,0,1
3465,26.65386354,48.47766991,4.085958862,4856.781932,100.7866347,271.357382,86.03220842,0,1
3469,44.8255618,81.38941487,4.7415240480000005,5048.561217,107.4904573,105.4134729,71.26858307,0,1
3470,6.693679309,8.42518953,1.474336548,1431.230502,106.9034438,148.5973688,103.5289341,0,2
3471,16.71722507,19.77907191,2.160377808,3560.831554,84.71978779,205.996971,87.94968623,1,0
3472,46.39865921,108.3087751,5.92171814,4613.214245,109.4073419,74.76957354,91.27114545,0,1
3473,21.6660582,40.06899738,4.135308228,1996.880038,109.995947,365.7756379,110.1483727,0,2
3475,18.01179217,33.97976686,3.68854187,2696.708423,91.34025854,308.0589773,109.2538483,1,0
3476,13.69537278,16.00502501,1.815182495,2593.423111,92.481973,204.6333793,99.46013779,1,0
3478,23.95057796,43.30158370000001,3.974015503,4120.835948,103.2665516,286.3120521,90.08530648,0,1
3479,21.71494734,28.960619,2.8744671630000003,3402.609641,105.89416509999998,222.4710988,76.03316675,1,0
3480,20.52832087,22.44559669,2.577993774,1464.339123,107.1810831,183.4032938,66.65230491,1,2
3481,31.72663736,64.50814361,5.507846069,4549.491055,108.8837218,261.4630751,98.96896877,1,1
3482,17.15209657,31.47156757,3.484481812,2288.814305,93.93698578,326.4011327,102.5993132,1,0
3484,20.81683142,39.05702596,4.222752075,2078.064175,106.9058769,353.1541999,103.0440179,1,2
3485,22.82893758,35.59469769,3.378505249,3867.172456,95.18442984,248.7058474,81.50950205,0,1
3486,8.667599628,8.959055292,1.549879761,874.0141477,107.94046029999998,145.5229413,87.63296789,0,2
3487,6.675849451,5.222394799,1.214214478,3728.078493,82.03099938,146.56713090000005,97.67282021,1,1
3488,17.03678186,27.02472163,2.98850769,3164.8179210000008,101.9494555,258.5864343,92.22701234,1,0
3490,51.38663172,113.657989,5.589813843,5604.555958,103.9153577,65.15486639,82.98828156,0,1
3493,55.35250261,73.34131603,4.635217896,4273.507007,104.7162901,65.79423867,63.09269479,0,1
3494,40.01784741,74.13352731,4.712785034,3674.9984700000014,87.65822311,111.5801812,75.89950455,0,1
3495,11.97830666,19.17902463,2.1665802000000003,1433.730142,100.9614421,252.930829,104.2265466,1,2
3496,29.41657929,58.75713865,5.092474976,3499.873275,103.3201987,343.6035749,103.5270751,0,0
3497,5.705646001,1.703528842,0.85579895,1688.798073,98.26556594,118.1683832,107.1001192,1,2
3498,22.19311196,38.92530870000001,3.994649048,2117.175243,107.64034879999998,310.6782065,90.14361496,0,2
3499,8.146416223,14.07196769,1.91730957,1380.338756,96.53284971,238.4273675,110.6677396,1,2
3500,21.38344296,36.44176795,3.636143188,2297.234727,90.74848982,329.0176408000001,101.2844536,1,0
3501,24.71199279,46.92738215,4.952360229,3258.00731,87.03984229999998,189.7155577,103.0015299,1,0
3502,45.35368427,104.1028874,6.10828186,4419.993426,108.5907831,81.67014607,95.57303569,0,1
3503,8.096292104,9.04176661,1.55881897,2582.69183,102.9832231,185.5406482,101.1696519,1,0
3506,17.0792332,24.96389641,2.799421997,2799.419534,102.3675377,255.3828569,83.22216618,1,0
3507,30.61501475,40.88078144,3.380361328,2933.377054,87.23940674,210.3539217,65.33664799,1,0
3509,28.33584964,51.34556534,4.563684692,2442.975305,108.7694854,368.9157179,91.30214167,1,0
3510,13.9999194,23.73939253,2.85397522,2398.515835,109.9394626,268.5640145,89.1053051,1,0
3511,46.82827800000001,103.9536523,5.823076782,5116.820016,104.4385555,73.87802814,93.68621754,0,1
3512,26.51986766,39.37813201,3.3888299560000004,2647.413935,109.448468,250.4218163,73.31493478,1,0
3513,64.50192433,133.5114746,5.619432982999999,4377.126005,74.06949367,45.95912756,87.53616736,0,1
3514,32.80290299,67.75256163,5.5285772710000005,3570.7364020000005,108.467142,367.1174467,95.91595572,0,0
3515,43.77190216,94.47482644,5.679977417000001,4960.6640590000015,106.1913838,98.14108393,91.60095428,0,1
3516,24.42520976,37.70788447,3.427454224,1950.197613,103.5343574,260.095495,76.36573119,1,2
3517,27.46139734,57.64700056,5.558932495,2419.705348,99.27005611,183.0378292,111.127289,1,0
3518,36.15997159,74.78324908,5.736777954,3473.2238030000008,109.6198987,141.1060594,98.88326921,0,0
3519,39.09774602,71.78947742,4.682678833,3614.853824,93.65823272,273.3405227,81.61480035,0,0
3520,10.92046324,0.097477662,1.268257446,1031.790186,98.91142362,108.6516594,67.218896,1,2
3522,20.90649498,35.59843834,3.815487671,2168.405001,109.2248053,325.6024477,95.1782464,0,2
3524,22.66726255,41.77610015,4.099367065,2394.298697,96.25652437,330.2921888,98.88531651,1,0
3527,50.09622013,121.5958523,6.049718628,4518.857107,108.2841082,61.88675899,89.24661509,0,1
3528,9.133257622,13.19265854,2.114733276,2554.523672,109.6501212,217.7549416,93.97481842,1,0
