,Unnamed: 0,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayResult
Balls,-0.004176605956897048,-0.02378385537158572,-0.0029107329827015287,0.8222846369559482,0.03107934911409943,-0.032009947266086414,0.03037051015815195,-0.030352635992806132,-0.044161676391348555,0.009202753525243614,1.0,0.41651644628523943,0.026832604336898335,-0.01026345661888986,0.08799888310777573,-0.08441534591840949,0.019853876513814116,0.02469177528317408,-0.008465660929698925,-0.03182222357801278,-0.018304844620560864,0.03512699174222331,0.11425202486024257,0.11191391740641957,-0.019572481606509866,-0.016535526084371824,-0.005237622136478006,0.0807633331821222,0.10558218789232725,0.007307569166815283,-0.08699018564208315,0.023691833056011743,0.05005526179001223,-0.008336665695839589,0.025338031643195123,-0.02260669353493516,0.0571848131019762,-0.008869021634004519,0.024235770553984768,-0.02071512358733029,-0.010380432293348741,0.0511408687997913,0.01941376337428587,0.11262248380346206,0.01788770961355177,,-0.050283715385800204,-0.020616266863907336,-0.08718866454439853,-0.08280442809716569,0.024007878878936212,0.08470337654476345,0.118659223917615,
Strikes,0.042669495609615554,0.003181716540347915,-0.0189471304700364,0.7909153937177379,0.007471146764201992,-0.03500943160020599,0.030933876087270523,0.019922919469199517,-0.018921060589303627,0.001636878449888178,0.41651644628523943,1.0,0.014144947427045975,0.0012717790186102132,-0.13828950319708025,0.12616776391533202,0.05376779545206404,0.055966364153908474,-0.13336573224437737,-0.02923634959120883,-0.026680610194631676,-0.07070188935197062,-0.16359550945684684,-0.14309204500012176,-0.11809121880301726,-0.04025239478185335,-0.05214121047574328,-0.13868292152118009,-0.14462137060168453,-0.06644189496137351,0.14629520089681758,-0.0734895614804648,-0.00613145066511992,0.02011457564200482,0.02332967156156371,-0.04025211890003658,-0.02731678614282824,0.024239533108716457,-0.05225889254759075,-0.02279560431951491,0.02384969623496501,-0.029606346655630084,0.11226603257494566,-0.14387062648814666,0.023677718583667674,,-0.008406374907608195,-0.051246484072421196,0.13882832702382034,0.11530635832990221,0.10884798728944571,-0.09400959670572129,-0.1416280738438623,
OutsOnPlay,0.0116293084202081,-0.01800483649794431,0.019967714867091237,0.02453446656647547,-0.03064350065175498,-0.010751052504233737,-0.028578612685374327,0.006350527773415043,-0.016001272776245717,0.008705077431730494,0.026832604336898335,0.014144947427045975,1.0,-0.30099102753346946,-0.008964818092734582,0.018009809717525166,0.010777406865648922,0.029764179523876094,-0.0017044623935812673,0.01842894900644626,-0.007111578871739729,-0.0227786309626966,0.014088698818565042,0.03170620886332582,-0.020194145955952644,0.08570824794854551,-0.008432521916003535,-0.013174884942619076,0.04315766542294004,-0.00867238604723291,0.013268960861141904,-0.17956119406438856,0.4866023124975637,0.04346447198950425,0.3468123273061587,0.10412481700282236,0.48264972451888766,0.045792441993781643,0.24453676188228887,-0.1009462902129899,0.04929941898480682,0.5231048324838838,0.019225827243817457,0.027505454068743846,0.006138771113108076,,0.023876470285904616,-0.009426583966425484,0.00888544075151852,0.022775527254537478,0.017384326021979146,0.004759628647783473,0.024883781045918388,
RunsScored,-0.01520294902066349,0.027140534599827487,0.3729831293355147,-0.0038412028192668255,0.03646857831456038,0.018894295267195216,0.024461928163522655,-0.023486276481568424,-0.005828499348304213,0.113247511895138,-0.01026345661888986,0.0012717790186102132,-0.30099102753346946,1.0,-0.03919873971019252,0.025123958627628288,-0.010063325503570274,-0.008408591190161636,-0.016367223434205113,-0.027894500239419903,0.012037975856632225,0.019640907532788448,-0.04737680172628985,-0.05003334554645649,0.006338172174063979,-0.05633320468324116,0.005423944039997341,-0.03328082060944747,-0.0544604868339227,-0.008304504078198457,0.03159570764251532,0.11969352275363442,-0.16332469474172956,0.006195637370650909,-0.11512315829790092,-0.033909397091531554,-0.15004183716293293,0.0025217636758630485,0.023145488191177725,0.1064725339461696,-0.0021975220203867617,-0.1319153957733019,-0.006528822287189387,-0.048228067527193184,-0.012003895340142325,,-0.025230129494394203,0.009870033511040745,0.038611572444165174,0.02032503372274005,-0.006518601551574107,-0.049069963898673935,-0.045867395797385475,
RelSpeed,-0.07004198178739134,-0.03585191322942725,-0.0852617291974211,-0.01622951402166389,-0.11743278699521147,0.18480213006573823,0.019006670509815304,-0.062358283852816075,-0.013482324581760022,-0.007186229677619013,0.08799888310777573,-0.13828950319708025,-0.008964818092734582,-0.03919873971019252,1.0,-0.671350417775622,-0.21915565814653493,0.23614550861972433,0.3108762617026766,0.1507487224106299,0.1459880496663835,0.2692656493835861,0.8432845800727131,0.5731703183582764,0.32871941375801417,0.15805073546091283,0.07765485973880071,0.9876875910551322,0.7290766193825151,0.07444892633639773,-0.9807509792437711,0.0618631480296051,-0.027274836248097966,0.04731199576622523,0.016718518207920967,0.005112443382945132,0.004301334676414828,0.03552555709637218,0.007392393499020454,-0.01713709278822872,0.03070034915965961,-0.009143533594431976,-0.322772927067181,0.5958174843402815,-0.13699709674594143,,0.038277209536835305,0.2206849206639128,-0.9996271697955575,-0.6510306984036011,-0.32234453929025403,0.8248359885460005,0.6777605891243047,
VertRelAngle,-0.05364590028535347,0.08571383227377653,0.07862477307147685,0.018086218081792643,-0.009469239665600515,0.015987797601549652,-0.023626854618959307,0.029653544869960455,0.07058392486784211,0.02511603571445246,-0.08441534591840949,0.12616776391533202,0.018009809717525166,0.025123958627628288,-0.671350417775622,1.0,0.014990196980287184,-0.004476077600245069,-0.1870180913963666,-0.5814955642545401,0.05607950444521571,-0.17932965683576432,-0.8303281097670664,-0.7861161183633762,-0.1601333822829856,0.16726218155833214,-0.02398608852738517,-0.6633274132719337,-0.3801683676993093,-0.18429155139063255,0.6649519823135207,-0.04898814958740413,0.005244129568467012,-0.04112598882578468,0.0065639446741193735,0.0009442335945293272,-0.003710028970323315,-0.03814510007536035,-0.000649081817784719,0.00996734241341723,-0.037143482000670996,0.0045977666215477105,0.1464837593142944,-0.8191867763287282,-0.06235205223348194,,-0.44400271339020686,-0.020853369340441262,0.6703548932380569,0.9929493712321608,0.1466296861483496,-0.5576794375569506,-0.8328415649368673,
HorzRelAngle,0.16001161745246562,-0.09790990028850007,-0.013582053332223818,0.03258400103758199,0.08818389114574648,-0.8989096510179099,0.06415712637995956,0.10207788150306597,-0.10233897683102655,-0.005318071359096548,0.019853876513814116,0.05376779545206404,0.010777406865648922,-0.010063325503570274,-0.21915565814653493,0.014990196980287184,1.0,-0.10002555124286923,-0.5065823344971033,0.11671361438336177,-0.9446717641553131,-0.17490101132030944,-0.0821975555107373,0.039433173103553695,-0.7849759446090312,0.002926151164368884,-0.05589145997278058,-0.22428711931631867,-0.11670027826161648,0.5911563696977041,0.22720624746400472,0.0034838507942415086,0.019053114448442224,-0.08208778834978421,0.010473169305892828,0.005168205959272823,0.01119595010036981,-0.063386354254467,0.02395708375572452,0.029168025149923775,-0.048953025508260216,0.02154656558643934,0.8298794283216798,0.02913523973528485,0.931047964123649,,0.12623224925302545,-0.9978839878727452,0.22063536248441976,0.020183610306588735,0.8411823187841267,-0.17112281478908475,-0.01388031787972589,
SpinRate,-0.01524955382434059,0.006839391752193268,-0.01957318593896595,0.036532997906819464,-0.098657258021685,0.1671533962649186,-0.05189012002886033,0.006456841466517307,0.019442138879353612,0.010080292448763052,0.02469177528317408,0.055966364153908474,0.029764179523876094,-0.008408591190161636,0.23614550861972433,-0.004476077600245069,-0.10002555124286923,1.0,-0.08985581609361251,0.002803078271538582,0.13945955179007097,-0.12197787480269497,0.03754633988866242,-0.08955758954729248,-0.022035484649104504,0.06103211343911207,-0.0174045824290585,0.24063569722265557,0.06737705941385072,-0.1895324415138971,-0.19929833958165324,-0.021655502418928024,0.016000272479036824,0.02433771650509111,0.06065265041664369,-0.02419394574417037,0.028567900563749717,0.02520983132705409,-0.006174844783853934,-0.03825260439589321,0.023240130606589048,0.012656187048882857,0.007304217002025177,-0.08261835465242032,-0.1423170144952169,,0.001433784141066403,0.10724999450597159,-0.23569028175277626,-0.027829081642536026,-0.007108919584928576,0.20130479684798547,-0.015764505897658605,
SpinAxis,-0.06663228642414797,0.03257242843827854,-0.006986479754519325,-0.07612116188833225,-0.07340231724495207,0.3228218377596117,-0.010060881401855716,-0.18326715970269802,0.04207472789433353,-0.0036283473441830823,-0.008465660929698925,-0.13336573224437737,-0.0017044623935812673,-0.016367223434205113,0.3108762617026766,-0.1870180913963666,-0.5065823344971033,-0.08985581609361251,1.0,-0.05630908206322435,0.3239101113826909,0.15092850449567874,0.282524570806035,0.21413666120683192,0.8281117079532192,0.03124858778867311,0.2507378735652759,0.30416669841751887,0.28007801299399776,0.2610154632558104,-0.3055435157850349,0.0207184379856003,-0.01956384942661766,0.03963189191704391,0.008391650959467796,0.003405307166288531,-0.009258484288493084,0.01109324185544889,0.003593087450717935,0.005932832598769425,-0.005681988753738182,-0.009545070894040235,-0.8069202810785634,0.21761536188247405,-0.3016341440448505,,-0.09594275453411853,0.4895217544215466,-0.3103780667564668,-0.1762525945351194,-0.7790091429479243,0.24978815299099225,0.23342065418982463,
RelHeight,0.15782850393625714,-0.07029993007943884,-0.052078684544430535,-0.0378809886931026,0.09263078912101169,-0.05880410781083014,0.017743591664858737,0.03420072277619451,-0.05544342260778118,-0.015287493840708304,-0.03182222357801278,-0.02923634959120883,0.01842894900644626,-0.027894500239419903,0.1507487224106299,-0.5814955642545401,0.11671361438336177,0.002803078271538582,-0.05630908206322435,1.0,-0.1418655030697325,-0.11273952767207644,0.2821173182083949,0.3397298820754441,-0.031134371873822494,0.21961342630636754,-0.008764724286746264,0.16056887174313383,-0.10627030577181718,0.14716953997942228,-0.1293927465610751,-0.007502544642122888,0.05201278523853927,-0.008851435807435165,0.010653671156785402,-0.0165738975402001,0.04532033629380594,-0.0003389556447158087,-0.0037905057083039,-0.012629775063014338,0.006120344805988937,0.03903115683447078,0.04138278345524648,0.36198804268438395,0.14299930892203114,,0.9865192166465369,-0.10730993633032299,-0.15337375674147777,-0.5977174273325723,0.030586465443030623,0.12210423404684327,0.35703142102084723,
