,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayResult,cluster #
6017,130,6,3,1000001147.0,1,9999668.0,0,4,2,1,1,0,1,91.66149411,-2.457560223,-2.424892462,2208.311302,221.4887426,6.601759368,1.339682545,5.991539962999999,-17.54988104,15.61349357,13.83575995,2.8585942330000003,0.244355505,83.59910252,-5.756230869,0.186650838,0.414477421,93.38653472,12.66681641,-31.48970059,3618.951165,89.02143898,17.93499785,-64.61563905,232.0424409,231.0957602,-40.32795134,2.264017944,-8.190385616,9.163353597999999,-1.15639676,50.0,6.398413352,5.188090918,-133.2003984,-6.2960688860000005,-14.66948377,29.43423794,-15.76191936,1,0
6027,232,2,3,8890663.0,1,1000024342.0,1,8,1,1,1,1,0,89.45172051,-2.262413527,-4.027117073,2058.553862,221.2678612,6.504266247,1.7130291990000002,5.776759835,-20.13243923,15.64833436,13.76137493,2.715367133,-0.8930926440000001,80.15453431,-6.0656158520000005,-1.421613987,0.430523023,67.19008242,18.25524336,-5.4735713,2139.341999,109.7208676,17.93948965,-7.825726311,175.28165149999995,160.0309253,-3.791018229,2.285031128,-8.794141245,9.215673411000001,-1.3886543880000002,50.0,6.305293700000001,8.675088172,-129.59821159999998,-5.789507212999999,-14.64791891,32.29575492,-16.82400663,0,0
6030,252,4,2,647217.0,1,8888443.0,1,8,1,0,1,0,1,77.5797117,2.201740938,-1.361708163,2783.198265,41.40479604,6.415726452,2.555763898,5.329142949,-62.94938602,-14.87005868,-13.07207196,3.237186651,0.188649263,70.50409433,-9.523938715,-3.814479331,0.499057642,82.61768448,15.42629298,-16.67202787,971.797367,106.41630659999998,20.002031,-27.84802327,211.74688250000003,210.9436755,-13.30796836,2.239966431,6.49120303,-8.624663551,-2.423713231,50.0,6.570572651,3.075876423,-112.5763697,2.403894258,8.180241322,23.87032662,-43.04288579,1,0
6032,274,2,3,1000018213.0,0,1000024339.0,0,9,1,1,1,0,0,89.00729759,-2.163703467,3.85549085,2120.416618,152.59259440000002,6.95877216,-2.359216034,6.189849607,-22.04604903,13.15559247,-6.838530349,3.118666838,0.635535775,80.73642413,-6.330536312,2.55893982,0.42702468,94.78244054,7.236052056,-14.70339874,2270.2644760000007,104.3857971,4.93573377,-34.69290557,141.66161499999995,138.4233721,-19.28249032,1.190824585,4.924371876,7.85640669,2.072204519,50.0,6.784431296,-8.497793771,-129.17637309999998,-5.561346941,8.23600577,29.46366842,-19.03421825,1,0
6033,5,1,5,1000018221.0,0,10000636.0,1,1,0,2,2,0,0,87.99024227,-1.973354213,4.86062822,2118.629043,132.9328152,6.153658188,-2.924618809,5.755287739,-22.49466376,14.02274281,-15.10985313,2.435049591,0.351129796,80.09254890000003,-6.184915229,2.029014478,0.43493212,102.4073593,12.65561768,-32.397935,2136.725914,89.77889695,16.76265038,-63.55868308,231.2604867,231.2604867,-38.02353005,1.958363037,9.523463658999999,8.104821912,2.53029272,50.0,5.975979252,-10.34947196,-127.5064199,-5.143695012,15.61981342,27.13040326,-18.88100617,1,0
6053,113,2,6,10000664.0,1,1000018217.0,0,4,1,2,2,0,0,79.79361785,-0.553094104,-2.784439261,1779.197793,240.3762938,6.17094047,2.314162895,6.3060333470000005,-37.546834,7.382612367999999,13.05752815,2.531944995,0.835423475,70.13249756,-7.798008293,-0.25043165,0.48243305,101.786587,13.60659639,17.75160772,1228.798596,103.6267473,18.15635382,36.89794898,222.57177030000003,222.57177030000003,21.78207353,1.932520752,-8.397204225,4.319612802,-2.116268264,50.0,6.112933486,5.293364486000001,-115.76770729999998,-2.088241692,-10.86052675,31.04721124,-26.58727597,1,0
6058,130,3,3,9999676.0,1,10000638.0,1,5,2,0,2,0,0,93.31124917,-2.184852126,-4.941272706,1965.813315,214.5758769,6.471151624,3.361452897,5.984488463,-16.14131192,16.59536226,11.45927877,3.092697217,-0.274306046,83.38008852,-5.250406889,-2.766773289,0.411802327,91.63766279,13.70513132,36.12327865,4327.223209000002,84.33878019,19.52110841,70.61769283,232.6171012,232.6171012,43.8644759,2.313081055,-7.932797176,9.781028217000001,-2.977309838,50.0,6.2894531910000016,11.30252884,-135.06761699999998,-5.700265684,-14.33026548,35.48548526,-14.5050312,1,0
6063,155,2,3,9999676.0,1,1000026072.0,1,6,1,1,1,0,0,90.93313862,-1.615942796,-4.547650743999999,2065.519474,224.5662088,6.123090599,3.460720461,6.214615581,-22.81079839,10.60204492,10.47365365,2.726004375,0.128432504,83.20303243,-5.912262693,-2.572939533,0.416033436,87.22207712,10.86192421,24.06845582,4494.651769,97.24487792,12.03324128,51.41372511,181.6952199,181.6952199,30.43977727,1.820396729,-6.974703391,6.23276692,-3.125156185,50.0,5.990320069,10.1720522,-131.99088970000003,-4.446044076000001,-12.30998592,27.96941261,-21.17354162,1,0
6066,160,1,1,10000661.0,0,663837.0,1,6,0,0,0,0,0,82.81907313,-1.042860509,1.49824967,1833.4261420000007,129.549271,5.781680532,-1.517211179,6.009966587999999,-29.16281438,11.22894694,-13.6439499,2.385004313,-1.266057746,75.94500428,-6.516229064,-1.075553062,0.457422912,95.44218751,11.74408297,-0.049578125,1552.377956,109.9214563,17.58731774,4.155041839,251.9624729,251.9624729,2.25364531,2.339938965,7.809087952,6.373820385,1.40726198,50.0,5.683920712999999,-2.7492118210000003,-120.5333011,-3.057050772,11.48330578,23.52178281,-22.80131144,1,0
6068,168,3,2,10000661.0,0,1000018217.0,0,6,0,0,1,0,1,74.6155645,0.8957517620000001,2.262957496,2161.468106,274.1244553,5.698195966,-1.719807698,5.4505948910000015,-51.99674171,-0.468926394,5.831079777999999,2.204339413,0.885494575,67.92422013,-8.797217726,3.356910997,0.516645181,99.23462176,13.44532689,7.350243732000001,936.8911792,109.42154440000002,20.2263167,11.26591118,259.14080260000003,258.4633868,5.48343049,2.383748169,-2.384995236,-0.53552351,1.516359408,50.0,5.742266707000001,-4.450322192,-108.34468259999998,0.189121913,-2.7952834710000003,21.39990983,-32.80169762,1,0
