,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,PlayResult
ExitSpeed,-0.03622920212419934,0.007093685698083904,-0.042938658730426814,-0.009297238574047649,-0.026216113438495624,-0.02548467902085149,-0.030797214252049187,-0.0397471344118236,-0.005523817168003302,0.01256065415056401,-0.08563694425800415,-0.23579711199844042,0.23758763962675913,0.061202410604231816,-0.044591772639444346,0.0051466751851705845,-0.013078812424997685,0.01971113989356236,-0.012455011690530218,-0.02521893295497915,0.02505552450889871,0.04673513603576081,0.02168137432920582,0.008471169625470613,-0.02914891919691728,-0.047500449716889034,0.06388622645579749,0.03227039712755326,0.019147886212246144,-0.06603921123839752,1.0,-0.3893581870188357,-0.041768829453805466,-0.323309298784367,0.056401582702935875,-0.1959085681416286,-0.05401242393530389,0.40885115170156,0.33396150161799293,-0.05507320270852832,-0.09746496739405001,-0.006628486159578338,0.02434518273373237,0.027587844046077004,,-0.02142583556171249,-0.004105019526915957,-0.06097002156395576,-0.045256102269616016,-0.002792227151996031,0.031217382834073076,0.026614336884088503,0.005558844452188015,0.039063144251652346,0.016435722382827825,0.005735097881514603,-0.0037015761566437278,-0.022425402567806577,-0.04968607844652732,0.24674622964309126
Angle,0.0007233853234654423,-0.009901261578519657,0.031869008304136255,0.03673985099335174,-0.019019866557302596,0.00726315147797996,0.02322273775500859,-0.005721276339214543,-0.009352285796600275,0.052968612667554135,-0.009149165875566523,0.4439080860262269,-0.09019478693994368,-0.03465576077222478,0.0064477730648022525,0.01894856333447695,0.009469424503896913,-0.018421048789500218,0.05352803554105628,-0.009515380451000572,-0.017438283655568196,0.04539813676034848,0.10111388871402285,-0.025664860670239553,0.15325241729367,0.011511777766115961,-0.049060066084635465,0.0831653657316424,-0.0018425996834536785,0.04061819867587241,-0.3893581870188357,1.0,0.030827586634138378,0.6755677090153772,-0.013940818311651797,0.9503727321256679,0.042299518372707325,0.21595892476992523,-0.3801274510354556,0.04426196390961678,0.8734750986678936,0.025056636956883604,0.09319433715946103,0.007947226714582936,,0.06096071699831597,-0.01839966904113765,0.03559794040003198,0.01589303562401155,0.024476205952736647,0.011249499154139397,0.08354755714313955,-0.0005060615012564536,-0.03814368881215561,-0.0013729643068913144,-0.013276444356156087,0.009017004519231785,-0.011596900331895617,0.06837730325890679,-0.4624974696630679
Direction,0.026923383086035015,0.009788909479031584,0.01732357835426021,0.010256826473567742,0.02712149111664245,0.039071420261044716,-0.14411088980272657,0.021726378449910717,0.003797743033999036,-0.0015648943669831163,0.03574464683870257,0.033441672562645804,-0.0015990711333620496,0.056839351002309274,-0.046812334414532614,-0.09184647157038352,0.012065758969737841,0.052330438998250156,-0.0006046023406816231,0.020394561034404943,0.06303542077421309,0.05354834068596837,0.03755740857601256,0.03721558744783433,-0.008497053454445937,-0.27687862623670956,0.05688538465306664,0.040994874534584724,-0.10124104868166284,-0.06154963942878662,-0.041768829453805466,0.030827586634138378,1.0,0.10069406962120639,0.03068965850328359,0.01855991605232944,0.9893993535421153,-0.010132849455292851,-0.0009817372348109514,0.9703589777874682,0.014809673750423902,-0.04508990075648188,0.04138438703109089,-0.01152623382238115,,-0.007720318486378816,0.09510536442150161,-0.05684560237168534,-0.04478228861809173,-0.038273194203402645,0.04627798279876111,0.045456316602427875,-0.5088653479700276,-0.4244471035597843,-0.25564483881984046,-0.010115024547565507,0.27567998056008747,0.41436143352903043,0.5194869336318318,-0.027820534765218823
HitSpinRate,0.008937271205110847,-0.010095428776467264,0.03872866725795423,0.03289377871904774,-0.03437852124476389,0.03718937221319173,0.045008503404739456,0.007155170020383355,0.01689341433470414,0.03250042865340462,0.021978583054297424,0.3225408974778907,-0.08592222718176831,0.021929123830203064,-0.0017568342585420626,0.014786727505476594,0.059626330966728765,0.006729038380128083,0.013214753950331951,-0.0183533000752136,-0.006194584098656556,0.033998467148577675,0.03945449995727983,-0.02549196521632451,0.07204153901932384,-0.036520766155714084,0.01683225973341859,0.05587924264949091,-0.008525847085149732,-0.017472592248506665,-0.323309298784367,0.6755677090153772,0.10069406962120639,1.0,-0.19552453562342076,0.6610659755611041,0.11268848172347785,0.11209742332313967,-0.34852813230956387,0.1160310143231484,0.5993453431215586,0.02484832703732112,0.03654323236430056,0.018504263349158234,,0.014679161911198094,-0.014278440081184252,-0.02051011927318715,0.0019779259075106037,0.02512944767410738,0.026129325660565108,0.03721542234487854,0.07581376999728935,-0.027676855117239794,-0.05967270382450141,-0.17492295860090695,0.002222075900127136,0.09699116547263753,0.19307954089925047,-0.330054824949857
PositionAt110X,-0.00872928938689945,0.011721030282937236,-0.032360098736269605,-0.024432572150028756,-0.013546006104374375,-0.01396248498746596,0.008915867857179913,-0.010186606328856502,0.0053476736055804745,-0.021469860703091197,-0.031816031495232204,0.1759176604964775,-0.10633076369613169,0.01897589779553907,-3.709556623392348e-05,0.005084941730654664,-0.004522837527607078,-0.003117867155158082,-0.01909691012601962,-0.02066601909942074,-0.0016905096193108333,0.009119303222862637,-0.001176999377791474,-0.00364386870313979,-0.003588074537099268,-0.05367115221052079,0.018793746145383566,0.01561031895614348,0.0032868053939207973,-0.019480170480323973,0.056401582702935875,-0.013940818311651797,0.03068965850328359,-0.19552453562342076,1.0,0.027673171710810452,0.033098531000435576,0.20419845291493935,0.3531298374559465,0.041576698160659474,0.12674934644489966,0.004443751734013104,-0.0007161345627125424,0.022793934057137123,,-0.02112848597046433,-0.004497720544818505,-0.01877645680477095,0.0016513733595261786,0.00368233796932154,0.013575225586211876,-0.002076531664027059,-0.549701185988384,-0.16376411555235632,0.18484189146650915,0.5798084767128698,0.21432571173120984,-0.12970135712864364,-0.5182768668977478,-0.16848481492759249
PositionAt110Y,-0.008388301641485183,-0.007158065812866888,0.020950087610592534,0.026719641218660984,-0.01892990778264746,0.004012428973458499,0.02514213095839071,-0.014848582298678997,-0.005013402326445266,0.05632954350361054,-0.029889920733683857,0.4298745118420149,-0.06088715224572778,-0.0026687342083998524,-0.0006113022602867149,0.012556399748874354,0.02391844548312376,-0.008276665374751515,0.04412430074576387,-0.008380673386936339,-0.005528758373972643,0.06988829747973997,0.11302766162176406,-0.017987142922063968,0.17206652862691654,0.0002413396644798952,-0.016636110059119344,0.11682189526542805,-0.00215944065765695,0.0067114268814824525,-0.1959085681416286,0.9503727321256679,0.01855991605232944,0.6610659755611041,0.027673171710810452,1.0,0.029346460367492912,0.32964233459676284,-0.3382908441848452,0.03264924364522088,0.911451916275412,0.01751446190891528,0.10508227861359766,0.007449847968687841,,0.049531145884164136,-0.011515316632558857,0.0034966352164275795,0.01099028357855329,0.017266263483232753,0.031843989694981395,0.09813819332017058,-0.01208043579278849,-0.04071895152427018,0.012111239052428335,0.005718650850404664,0.007890321769114281,-0.017072514799191897,0.04431507697491343,-0.4446014314889829
PositionAt110Z,0.02549580934398763,0.011832513613986923,0.019640901241350962,0.015815617617546598,0.011828397325311551,0.026761422010657315,-0.047184952264849596,0.019653633288030693,0.007528073888760224,-0.0025473749191812873,0.04024439235150799,0.03733606514792215,-0.007127675512513453,0.04570528821545565,-0.04346480976494212,-0.07476887807531526,0.014372107199784392,0.02496003734413045,0.006904854861948228,0.006088867992532917,0.053526090062983124,0.04400506929622972,0.03151332303185845,0.008510146425159713,-0.010348138032930143,-0.2978135284156694,0.046278275010006226,0.028818788387336265,-0.1109623004898778,-0.04981254936661826,-0.05401242393530389,0.042299518372707325,0.9893993535421153,0.11268848172347785,0.033098531000435576,0.029346460367492912,1.0,-0.014100475685702767,-0.006875914708973759,0.991031659750458,0.022997338592339545,-0.017142248656206498,0.03521610538253562,0.00243832056111771,,0.0010543366927483083,0.07878934812960556,-0.04561462602503497,-0.04245875006867861,-0.011642507137091496,0.03577211668114801,0.038867009711654354,-0.5075083903548634,-0.4411264543067886,-0.2767271490751577,-0.006262701882497946,0.29652382504686514,0.4274296219888136,0.5162005897132362,-0.032212262390931334
Distance,-0.05387698098365753,0.010753361435468477,-0.02982049150559289,-0.00023577248051145374,-0.03238004596144361,-0.02323070284250944,0.005840473048779683,-0.056577271740685824,0.006467195894728538,0.012494129376066403,-0.0691855915565417,0.09109274668700415,0.27067805492885766,0.008868811860274904,0.0021729279590453816,0.0179759077904291,-0.0031003336375057477,0.006233746329095127,-0.010978149993026199,-0.02896453403376632,0.022864183100137214,0.03352039399499105,0.04051732888769486,-0.020995576576199305,0.056064726428335473,-0.051364144422188465,0.006381978345750481,0.05834601188556404,0.0018044226662117322,-0.014127522130530175,0.40885115170156,0.21595892476992523,-0.010132849455292851,0.11209742332313967,0.20419845291493935,0.32964233459676284,-0.014100475685702767,1.0,0.5536592714940518,-0.006912068575093824,0.634555196086817,0.02103100043419157,0.03884667294850397,0.029731293817383687,,-0.01010794780830702,-0.014756635849598677,-0.0094659117725105,0.009241885987354906,0.020861677269039123,0.008940448668545637,0.03472737386060861,-0.04281702315443975,-0.03517284947003041,0.022390856369903216,0.09207896241383808,0.004352098147611513,-0.060930092114265276,-0.02694152094946088,-0.08903900945503194
LastTrackedDistance,-0.024389188849946297,0.017595904240753406,-0.03365683447286005,-0.0031576560215182668,-0.04044935925247576,-0.01024358671422888,0.0024719146197573574,-0.02040826572669128,0.014503639776353584,-0.0201027167040768,-0.02314062982329542,-0.10053594203865288,0.11151169001144087,-0.014087307791266235,0.008376193470096474,0.025820889881994,-0.03050505912722164,0.008742605318042036,-0.007678277998242007,-0.04105018474255562,-0.006353059782652094,-0.03909847622456123,-0.05241771867880691,-0.009257170810141756,-0.059378607100833376,-0.03941537188114807,-0.007420392549143866,-0.05632041325261957,0.029396467467766953,0.011291397012538165,0.33396150161799293,-0.3801274510354556,-0.0009817372348109514,-0.34852813230956387,0.3531298374559465,-0.3382908441848452,-0.006875914708973759,0.5536592714940518,1.0,0.0008814797604263512,-0.05215138952892194,0.011422038843696119,-0.04902604430532178,0.04261703639109525,,-0.006986788383274273,-0.024317319251169176,0.013717905752189138,0.005182059282144438,0.012123553962562475,-0.031113157663117952,-0.04978456109036364,-0.16124660922646386,-0.04269240752056295,0.04074281933730783,0.19747018857844928,0.05734209109569893,-0.043454536276436924,-0.17243991360285194,0.10290898383107168
Bearing,0.023425451641908967,0.009201751916878914,0.019143354797977363,0.01886539123732987,0.000530800985384841,0.01721720005502831,0.022816550991939185,0.01802216795497413,0.00570647943800928,-0.0035830337928743484,0.04057222959676644,0.041763417318521116,-0.013013083582760081,0.0412134996793074,-0.04245454388160701,-0.06179951377472713,0.013058772861848058,0.009004402405031095,0.013231870877620329,-0.004723835938089523,0.0469409650853225,0.04001102321275982,0.029093693293829728,-0.009062249645483767,-0.008731901097284597,-0.3060678497129326,0.04119064493007634,0.023339875742072847,-0.11274211126238741,-0.044577796157817824,-0.05507320270852832,0.04426196390961678,0.9703589777874682,0.1160310143231484,0.041576698160659474,0.03264924364522088,0.991031659750458,-0.006912068575093824,0.0008814797604263512,1.0,0.02954904283311095,0.00025004162776371184,0.032785661982382384,0.01293516608831529,,0.00812690366350032,0.06619510353514314,-0.04094455656446132,-0.041930543529175884,0.005196778918941265,0.034163162294024885,0.03630318476436158,-0.519665564959382,-0.44381340198952524,-0.2772117032039353,0.002674313728452455,0.29614555671011084,0.4234013998748975,0.5228381158375879,-0.03721320060012015
